row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty con,Cho vayLãi cho vay,9.054.507.014180.283.408,-597.302.078,,,9.054507014180283e+18,-597302078.0
Công ty Cổ phần Đầu tư Phát triển Xây Dụng Du Lịch Thẻ Thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây Dụng Du Lịch Thẻ Thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây Dụng Du Lịch Thẻ Thao Vũng Tàu,Công ty liên kết,Cung cấp dịch vụ,2.994.288,-,,,2994288.0,
Công ty Cổ phần Đầu tư Phát triển Xây Dụng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây Dụng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây Dụng Bê tông,Công ty liên kết,Thuế đấtCổ tứcCung cấp dịch vụ,784.663.5051.889.991.00013.837.800,-1.889.991.000750.635.602,,,7.846635051889991e+26,-1.8899910007506355e+18
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Cung cấp dịch vụCho vayLãi cho vay,5.415.239.93729.000.000.00020.763.889,550.279.1123.000.000.00014.083.333,,,5.41523993729e+28,5.502791123e+26
Công ty Cổ phần Gạch men Anh Em DIC,Công ty Cổ phần Gạch men Anh Em DIC,Công ty Cổ phần Gạch men Anh Em DIC,Công ty liên kết,Lãi cho vay,1.267.361.110,1.368.750.000,,,1267361110.0,1368750000.0
Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Bên liên quan,Lãi cho vay,8.189.444.154,-,,,8189444154.0,
Công ty Cổ phần Đầu tư Phát triển Xây Dụng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây Dụng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây Dụng Thanh Bình,Bên liên quan,Lãi cho vay,80.440.249,-,,,80440249.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty liên kết,Cổ tức,899.100.000,-,,,899100000.0,
Công ty TNHH Xi măng FICO Bình Dương,Công ty TNHH Xi măng FICO Bình Dương,Công ty TNHH Xi măng FICO Bình Dương,Công ty liên kết,Cổ tức,579.683.680,-,,,579683680.0,
Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Công ty liên kết,Cung cấp dịch vụ,1.665.942.021,-,,,1665942021.0,
