row_label_raw,row_label_full,"Đầu tư vào công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên doanh, liên kết (Thuyết minh số 14.2) > Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 14.3) > Đầu tư nằm giữ đến ngày đáo hạn (Thuyết minh số 14.4)",Số cuối năm > 290.625.562.291 > 823.832.682.533 > 220.705.728.596 > 42.000.000.000,VND Số đầu năm > 278.248.062.147 > 849.180.154.031 > 181.988.343.420 > 2.000.000.000,numeric__Số cuối năm > 290.625.562.291 > 823.832.682.533 > 220.705.728.596 > 42.000.000.000,numeric__VND Số đầu năm > 278.248.062.147 > 849.180.154.031 > 181.988.343.420 > 2.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.377.163.973.420,1.311.416.559.598,1377163973420.0,1311416559598.0
Dự phòng cho các khoản đầu tư dài hạn,Dự phòng cho các khoản đầu tư dài hạn,Dự phòng cho các khoản đầu tư dài hạn,(138.337.309.329),(132.451.973.346),-138337309329.0,-132451973346.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.238.826.664.091,1.178.964.586.252,1238826664091.0,1178964586252.0
