row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Đã trình bày lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (Đã trình bày lại – Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Các bên liên quan(Thuyết minh số 31),Ngắn hạn > Các bên liên quan(Thuyết minh số 31),Các bên liên quan(Thuyết minh số 31),323.671.376.864,336.815.960.246,323671376864.0,336815960246.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
- Ban Quản lý Dự án Sở Xây dựng Tỉnh Bà Rịa – Vũng Tàu,Các bên khác > - Ban Quản lý Dự án Sở Xây dựng Tỉnh Bà Rịa – Vũng Tàu,- Ban Quản lý Dự án Sở Xây dựng Tỉnh Bà Rịa – Vũng Tàu,20.557.404.736,50.815.404.736,20557404736.0,50815404736.0
- Khác,Các bên khác > - Khác,- Khác,96.625.957.148,110.167.609.557,96625957148.0,110167609557.0
,,,440.854.738.748,497.798.974.539,440854738748.0,497798974539.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Các bên liên quan (Thuyết minh số 31),Dải hạn > Các bên liên quan (Thuyết minh số 31),Các bên liên quan (Thuyết minh số 31),167.255.979.388,192.879.622.308,167255979388.0,192879622308.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,608.110.718.136,690.678.596.847,608110718136.0,690678596847.0
Dự phòng phải thu khó đòi,Dải hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(12.073.410.358),-,-12073410358.0,
GIÁ TRI THUÀN,Dải hạn > GIÁ TRI THUÀN,GIÁ TRI THUÀN,596.037.307.778,690.678.596.847,596037307778.0,690678596847.0
