row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,562.724.890.993,323.731.488.152,562724890993.0,323731488152.0
Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,362.122.372.693,32.143.239.412,362122372693.0,32143239412.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,133.087.089.496,157.003.803.154,133087089496.0,157003803154.0
Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,888.813.636,83.521.994.999,888813636.0,83521994999.0
Thu khác,Thu khác,Thu khác,66.626.615.168,51.062.450.587,66626615168.0,51062450587.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(162.614.061.354),(112.136.252.518),-162614061354.0,-112136252518.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(83.112.270.688),(23.809.566.385),-83112270688.0,-23809566385.0
Chi phí từ thanh lý tài sản,Chi phí từ thanh lý tài sản,Chi phí từ thanh lý tài sản,(677.205.507),(38.057.490.869),-677205507.0,-38057490869.0
Chi khác,Chi khác,Chi khác,(78.824.585.159),(50.269.195.264),-78824585159.0,-50269195264.0
,,,400.110.829.639,211.595.235.634,400110829639.0,211595235634.0
