row_label_raw,row_label_full,col_0,Thay đổi lãi suất,Ảnh hưởng đến kết quả thu nhập lãi thuần VND,numeric__Thay đổi lãi suất,numeric__Ảnh hưởng đến kết quả thu nhập lãi thuần VND
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,
VND,Tại ngày 31 tháng 12 năm 2021 > VND,VND,"-0,20%",21.949.582.899,-0.002,21949582899.0
VND,Tại ngày 31 tháng 12 năm 2021 > VND,VND,"0,20%",(21.949.582.899),0.002,-21949582899.0
USD,Tại ngày 31 tháng 12 năm 2021 > USD,USD,"-0,20%",6.249.091.801,-0.002,6249091801.0
USD,Tại ngày 31 tháng 12 năm 2021 > USD,USD,"0,20%",(6.249.091.801),0.002,-6249091801.0
