row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
"Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác",22.828.912.786.394,18.794.596.486.211,22828912786394.0,18794596486211.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,14.556.254.303.636,11.230.993.688.104,14556254303636.0,11230993688104.0
Xây dựng,Xây dựng,Xây dựng,9.440.808.369.350,9.391.398.251.043,9440808369350.0,9391398251043.0
"Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí",9.195.623.919.834,9.313.272.140.650,9195623919834.0,9313272140650.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,9.130.381.959.034,6.268.194.676.278,9130381959034.0,6268194676278.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",8.072.388.937.232,7.066.592.576.041,8072388937232.0,7066592576041.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,6.845.876.357.780,7.117.525.860.046,6845876357780.0,7117525860046.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",6.054.164.780.172,2.331.879.699.991,6054164780172.0,2331879699991.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình",5.200.487.481.312,5.504.364.133.080,5200487481312.0,5504364133080.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",2.327.239.980.365,2.099.663.011.741,2327239980365.0,2099663011741.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,877.399.405.438,1.298.117.702.316,877399405438.0,1298117702316.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,939.794.836.732,735.299.382.465,939794836732.0,735299382465.0
Các ngành khác,Các ngành khác,Các ngành khác,6.581.399.921.176,8.085.988.558.188,6581399921176.0,8085988558188.0
,,,102.050.733.038.455,89.237.886.166.154,102050733038455.0,89237886166154.0
