row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng côngVND,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng côngVND
,,,Trên 3 thángVND,Đến 3 thángVND,Đến 1 thángVND,Từ 1 đến 3 thángVND,Từ 3 đến 12 thángVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,Tổng côngVND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đã quý","Tài sản > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,-,713.556.130.605,-,-,-,-,713.556.130.605,,,713556130605.0,,,,,713556130605.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.852.855.231.576,-,-,-,-,3.852.855.231.576,,,3852855231576.0,,,,,3852855231576.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,16.702.817.280.446,5.630.564.234.575,212.106.598.725,49.000.000.000,-,22.594.488.113.746,,,16702817280446.0,5630564234575.0,212106598725.0,49000000000.0,,22594488113746.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,-,-,-,4.565.000.020.000,4.565.000.020.000,,,,,,,4565000020000.0,4565000020000.0
Công cụ tài chính phải sinh,Tài sản > Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,-,-,87.539.330.736,4.957.170.000,18.310.339.624,15.000.000.000,-,125.806.840.360,,,87539330736.0,4957170000.0,18310339624.0,15000000000.0,,125806840360.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,1.220.446.511.571,988.938.616.263,3.947.607.429.609,6.129.712.055.638,17.839.025.684.469,25.224.702.559.854,46.700.967.181.051,102.051.400.038.455,1220446511571.0,988938616263.0,3947607429609.0,6129712055638.0,17839025684469.0,25224702559854.0,46700967181051.0,102051400038455.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,-,9.556.173.717.783,6.305.776.186.458,25.118.478.896.673,40.980.428.800.914,,,,,9556173717783.0,6305776186458.0,25118478896673.0,40980428800914.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,25.000.000.000,25.000.000.000,,,,,,,25000000000.0,25000000000.0
