row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá VND,Đã quá hạn và chưa bị giảm giá VND,Đã quá hạn và đã trích lập dự phòng VND,Tổng cộng VND,numeric__Chưa quá hạn và chưa bị giảm giá VND,numeric__Đã quá hạn và chưa bị giảm giá VND,numeric__Đã quá hạn và đã trích lập dự phòng VND,numeric__Tổng cộng VND
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,22.594.488.113.746,-,-,22.594.488.113.746,22594488113746.0,,,22594488113746.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,21.131.371.234.704,-,-,21.131.371.234.704,21131371234704.0,,,21131371234704.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,1.463.116.879.042,-,-,1.463.116.879.042,1463116879042.0,,,1463116879042.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.565.000.020.000,-,-,4.565.000.020.000,4565000020000.0,,,4565000020000.0
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,97.624.968.042.261,1.060.240.992.113,3.366.191.004.081,102.051.400.038.455,97624968042261.0,1060240992113.0,3366191004081.0,102051400038455.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,40.980.428.800.914,-,-,40.980.428.800.914,40980428800914.0,,,40980428800914.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,7.976.774.458.840,-,4.800.000.000,7.981.574.458.840,7976774458840.0,,4800000000.0,7981574458840.0
Tổng cộng,Tổng cộng,Tổng cộng,173.741.659.435.761,1.060.240.992.113,3.370.991.004.081,178.172.891.431.955,173741659435761.0,1060240992113.0,3370991004081.0,178172891431955.0
