row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ_1,Công cụ tài chính phải sinh tiền tệ_2,Công cụ tài chính phải sinh tiền tệ_3,numeric__Công cụ tài chính phải sinh tiền tệ_1,numeric__Công cụ tài chính phải sinh tiền tệ_2,numeric__Công cụ tài chính phải sinh tiền tệ_3
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,671.492.178.073,8.528.286.555,-,671492178073.0,8528286555.0,
Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,26.969.717.439.179,53.642.436.648,-,26969717439179.0,53642436648.0,
Giao dịch hoán đối lãi suất hai đồng tiền,Giao dịch hoán đối lãi suất hai đồng tiền,Giao dịch hoán đối lãi suất hai đồng tiền,1.245.700.000.000,3.417.414.537,-,1245700000000.0,3417414537.0,
,,,28.886.909.617.252,65.588.137.740,-,28886909617252.0,65588137740.0,
,,,,65.588.137.740,,,65588137740.0,
