row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,7.572.910.659,79.655.895.325,7572910659.0,79655895325.0
- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,7.572.910.659,79.655.895.325,7572910659.0,79655895325.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.768.932.985.260,1.614.949.920.748,1768932985260.0,1614949920748.0
- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,1.137.868.826.552,583.785.624.167,1137868826552.0,583785624167.0
- Thuế phải trả,- Thuế phải trả,- Thuế phải trả,383.893.137.009,445.944.166.201,383893137009.0,445944166201.0
- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,83.391.999.062,117.487.712.405,83391999062.0,117487712405.0
- Cổ tức phải trả,- Cổ tức phải trả,- Cổ tức phải trả,18.033.112.575,18.336.278.164,18033112575.0,18336278164.0
- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,16.675.952.346,18.104.741.560,16675952346.0,18104741560.0
- Doanh thu chờ phân bổ,- Doanh thu chờ phân bổ,- Doanh thu chờ phân bổ,87.900.000,189.512.885.000,87900000.0,189512885000.0
- Các khoản phải trả khác,- Các khoản phải trả khác,- Các khoản phải trả khác,128.982.057.716,241.778.513.251,128982057716.0,241778513251.0
Quỹ khen thưởng phúc lợi (*),Quỹ khen thưởng phúc lợi (*),Quỹ khen thưởng phúc lợi (*),67.015.649.270,39.152.247.757,67015649270.0,39152247757.0
,,,1.843.521.545.189,1.733.758.063.830,1843521545189.0,1733758063830.0
