row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,26,11.720.101.153.850,10.793.396.733.884,26.0,11720101153850.0,10793396733884.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,27,(5.954.650.380.841),(5.811.739.255.459),27.0,-5954650380841.0,-5811739255459.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,5.765.450.773.009,4.981.657.478.425,,5765450773009.0,4981657478425.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,868.493.398.150,920.888.968.723,,868493398150.0,920888968723.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(89.606.004.679),(96.236.691.732),,-89606004679.0,-96236691732.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,28,778.887.393.471,824.652.276.991,28.0,778887393471.0,824652276991.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,99.727.078.248,94.975.111.343,29.0,99727078248.0,94975111343.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,30,123.818.226.554,130.768.950.000,30.0,123818226554.0,130768950000.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,31,1.744.618.886.811,1.751.950.864.090,31.0,1744618886811.0,1751950864090.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,562.724.890.993,323.731.488.152,,562724890993.0,323731488152.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(162.614.061.354),(112.136.252.518),,-162614061354.0,-112136252518.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,32,400.110.829.639,211.595.235.634,32.0,400110829639.0,211595235634.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,33,5.242.907.658,2.394.262.149,33.0,5242907658.0,2394262149.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,8.917.856.095.390,7.997.994.178.632,,8917856095390.0,7997994178632.0
CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,34,(2.397.391.556.029),(2.321.008.828.010),34.0,-2397391556029.0,-2321008828010.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,6.520.464.539.361,5.676.985.350.622,,6520464539361.0,5676985350622.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(997.676.515.651),(1.263.439.294.228),,-997676515651.0,-1263439294228.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,5.522.788.023.710,4.413.546.056.394,,5522788023710.0,4413546056394.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,35,(1.113.453.295.381),(883.577.251.054),35.0,-1113453295381.0,-883577251054.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,35,(1.113.453.295.381),(883.577.251.054),35.0,-1113453295381.0,-883577251054.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,4.409.334.728.329,3.529.968.805.340,,4409334728329.0,3529968805340.0
