row_label_raw,row_label_full,col_0,EUR được quy đổi VND,USD được quy đổi VND,Các loại ngoại tệ khác quy đổi VND,Tổng cộng VND,numeric__EUR được quy đổi VND,numeric__USD được quy đổi VND,numeric__Các loại ngoại tệ khác quy đổi VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",21.279.378.890,67.258.418.490,7.930.183.825,96.467.981.205,21279378890.0,67258418490.0,7930183825.0,96467981205.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,106.656.931.408,-,106.656.931.408,,106656931408.0,,106656931408.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,14.461.281.377,9.439.321.460.965,104.189.155.629,9.557.971.897.971,14461281377.0,9439321460965.0,104189155629.0,9557971897971.0
Các công cụ tài chính phải sinh,Tài sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,(10.318.000.000),(7.567.875.600.610),(8.680.050.000),(7.586.873.650.610),-10318000000.0,-7567875600610.0,-8680050000.0,-7586873650610.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,3.871.634.927.301,-,3.871.634.927.301,,3871634927301.0,,3871634927301.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,7.040.745.508,2.331.210.781.659,3.224.265.650,2.341.475.792.817,7040745508.0,2331210781659.0,3224265650.0,2341475792817.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,32.463.405.775,8.248.206.919.213,106.663.555.104,8.387.333.880.092,32463405775.0,8248206919213.0,106663555104.0,8387333880092.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,3.820.367.443,5.918.582.230.650,3.224.265.650,5.925.626.863.743,3820367443.0,5918582230650.0,3224265650.0,5925626863743.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,25.105.097.248,1.157.688.989.108,65.826.500.509,1.248.620.586.865,25105097248.0,1157688989108.0,65826500509.0,1248620586865.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,4.757.885.000.000,-,4.757.885.000.000,,4757885000000.0,,4757885000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,1.298.186.513,98.894.177.273,632.730.847,100.825.094.633,1298186513.0,98894177273.0,632730847.0,100825094633.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,30.223.651.204,11.933.050.397.031,69.683.497.006,12.032.957.545.241,30223651204.0,11933050397031.0,69683497006.0,12032957545241.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,2.239.754.571,(3.684.843.477.818),36.980.058.098,(3.645.623.665.149),2239754571.0,-3684843477818.0,36980058098.0,-3645623665149.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,687.589.139.573,(27.481.875.000),660.107.264.573,,687589139573.0,-27481875000.0,660107264573.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",2.239.754.571,(2.997.254.338.245),9.498.183.098,(2.985.516.400.576),2239754571.0,-2997254338245.0,9498183098.0,-2985516400576.0
