row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,,,
Mua sắm tài sản cố định,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(125.239.422.985),(48.089.586.276),,-125239422985.0,-48089586276.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,55.888.813.636,13.121.994.999,,55888813636.0,13121994999.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",33,5.242.907.658,644.262.149,33.0,5242907658.0,644262149.0
"Tiền thu đầu tư, góp vốn vào các đơn vị khác","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > Tiền thu đầu tư, góp vốn vào các đơn vị khác","Tiền thu đầu tư, góp vốn vào các đơn vị khác",,3.000.000.000,3.750.000.000,,3000000000.0,3750000000.0
Lưu chuyển tiền sử dụng vào hoạt động đầu tư,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > Lưu chuyển tiền sử dụng vào hoạt động đầu tư,Lưu chuyển tiền sử dụng vào hoạt động đầu tư,,(61.107.701.691),(30.573.329.128),,-61107701691.0,-30573329128.0
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
(Giảm)/tăng vốn cổ phần từ góp vốn,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > (Giảm)/tăng vốn cổ phần từ góp vốn,(Giảm)/tăng vốn cổ phần từ góp vốn,,(275.000.000),2.420.424.044.224,,-275000000.0,2420424044224.0
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(303.165.589),(18.480.159),,-303165589.0,-18480159.0
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,(578.165.589),2.420.405.564.065,,-578165589.0,2420405564065.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,5.488.888.384.401,3.070.943.985.059,,5488888384401.0,3070943985059.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,36,20.208.894.212.484,17.137.950.227.425,36.0,20208894212484.0,17137950227425.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,36,25.697.782.596.885,20.208.894.212.484,36.0,25697782596885.0,20208894212484.0
