row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Tài sản cố định khác VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2021,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,212.857.962.729,289.009.113.231,144.574.859.528,1.425.127.387,647.867.062.875,212857962729.0,289009113231.0,144574859528.0,1425127387.0,647867062875.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,2.068.330.672,25.406.169.710,70.500.346,-,27.545.000.728,2068330672.0,25406169710.0,70500346.0,,27545000728.0
Nâng cấp trong năm,Nguyên giá > Nâng cấp trong năm,Nâng cấp trong năm,-,8.967.957.114,-,-,8.967.957.114,,8967957114.0,,,8967957114.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,1.944.590.139,33.714.112.509,1.231.798.008,-,36.890.500.656,1944590139.0,33714112509.0,1231798008.0,,36890500656.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.105.511.879),(8.167.824.718),(5.114.809.442),-,(20.388.146.039),-7105511879.0,-8167824718.0,-5114809442.0,,-20388146039.0
Số dư tại ngày 31 tháng 12 năm 2021,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,209.765.371.661,348.929.527.846,140.762.348.440,1.425.127.387,700.882.375.334,209765371661.0,348929527846.0,140762348440.0,1425127387.0,700882375334.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,90.236.444.478,190.298.769.421,93.528.861.337,1.425.127.387,375.489.202.623,90236444478.0,190298769421.0,93528861337.0,1425127387.0,375489202623.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.722.938.424,37.668.596.738,12.586.906.854,-,59.978.442.016,9722938424.0,37668596738.0,12586906854.0,,59978442016.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.430.033.862),(8.167.824.718),(5.113.081.952),-,(19.710.940.532),-6430033862.0,-8167824718.0,-5113081952.0,,-19710940532.0
Số dư tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,93.529.349.040,219.799.541.441,101.002.686.239,1.425.127.387,415.756.704.107,93529349040.0,219799541441.0,101002686239.0,1425127387.0,415756704107.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,122.621.518.251,98.710.343.810,51.045.998.191,-,272.377.860.252,122621518251.0,98710343810.0,51045998191.0,,272377860252.0
Số dư tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,116.236.022.621,129.129.986.405,39.759.662.201,-,285.125.671.227,116236022621.0,129129986405.0,39759662201.0,,285125671227.0
Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,,,,,
,,,,,Số dư cuối năm VND,Số dư đầu năm VND,,,,,,
Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Các thông tin khác về tài sản cố định hữu hình: > Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,230.324.343.940,196.328.412.777,,,,230324343940.0,196328412777.0,
