row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,63.924.706.134.520,57.046.119.467.397,63924706134520.0,57046119467397.0
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,38.085.287.992.120,34.066.244.004.001,38085287992120.0,34066244004001.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,24.135.106.344.808,20.974.542.915.742,24135106344808.0,20974542915742.0
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,775.236.949.960,1.001.644.758.394,775236949960.0,1001644758394.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,551.651.754.695,548.965.930.397,551651754695.0,548965930397.0
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,146.708.605.357,175.638.933.543,146708605357.0,175638933543.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,137.635.351.726,132.255.843.387,137635351726.0,132255843387.0
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,92.769.135.854,86.338.832.950,92769135854.0,86338832950.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,310.000.000,-,310000000.0,
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,-,60.488.248.983,,60488248983.0
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,38.126.026.903.935,32.191.766.698.757,38126026903935.0,32191766698757.0
,,,102.050.733.038.455,89.237.886.166.154,102050733038455.0,89237886166154.0
