row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm,Năm nay VND > 1.718.781.687.006 > 65.785.631.877,Năm trước VND > 98.783.603.554 > 1.675.483.089.756,numeric__Năm nay VND > 1.718.781.687.006 > 65.785.631.877,numeric__Năm trước VND > 98.783.603.554 > 1.675.483.089.756
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(36.890.500.656),(21.467.276.927),-36890500656.0,-21467276927.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(10.416.896.151),(10.912.113.851),-10416896151.0,-10912113851.0
Thanh lý hợp đồng mua sắm thu hồi tạm ứng,Thanh lý hợp đồng mua sắm thu hồi tạm ứng,Thanh lý hợp đồng mua sắm thu hồi tạm ứng,(55.000.000.000),-,-55000000000.0,
Chuyển sang tài sản khác,Chuyển sang tài sản khác,Chuyển sang tài sản khác,(25.509.151.830),(23.105.615.526),-25509151830.0,-23105615526.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.656.750.770.246,1.718.781.687.006,1656750770246.0,1718781687006.0
