row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,713.556.130.605,932.451.084.828,5.0,713556130605.0,932451084828.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,3.852.855.231.576,4.087.881.039.948,6.0,3852855231576.0,4087881039948.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,,22.594.488.113.746,16.384.182.214.758,,22594488113746.0,16384182214758.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,21.131.371.234.704,15.188.562.087.708,71.0,21131371234704.0,15188562087708.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,1.463.116.879.042,1.195.620.127.050,72.0,1463116879042.0,1195620127050.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,4.565.000.020.000,929.409.500.000,8.0,4565000020000.0,929409500000.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,4.565.000.020.000,929.409.500.000,,4565000020000.0,929409500000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,125.806.840.360,65.588.137.740,9.0,125806840360.0,65588137740.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,100.934.632.861.292,88.300.510.917.677,,100934632861292.0,88300510917677.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,102.050.733.038.455,89.237.886.166.154,10.0,102050733038455.0,89237886166154.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(1.116.100.177.163),(937.375.248.477),11.0,-1116100177163.0,-937375248477.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,661.997.500,387.075.000.000,12.0,661997500.0,387075000000.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,667.000.000,390.000.000.000,,667000000.0,390000000000.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(5.002.500),(2.925.000.000),,-5002500.0,-2925000000.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,40.968.392.205.017,33.588.023.036.072,13.0,40968392205017.0,33588023036072.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,40.980.428.800.914,33.607.191.427.787,,40980428800914.0,33607191427787.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(12.036.595.897),(19.168.391.715),,-12036595897.0,-19168391715.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,25.000.000.000,27.905.246.550,14.0,25000000000.0,27905246550.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,25.000.000.000,25.000.000.000,,25000000000.0,25000000000.0
