row_label_raw,row_label_full,col_0,Mức biến động tỷ giá,Ảnh hưởng đến lợi nhuận sau thuế VND,numeric__Mức biến động tỷ giá,numeric__Ảnh hưởng đến lợi nhuận sau thuế VND
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,
USD,Tại ngày 31 tháng 12 năm 2021 > USD,USD,-3%,71.934.104.118,-0.03,71934104118.0
USD,Tại ngày 31 tháng 12 năm 2021 > USD,USD,3%,(71.934.104.118),0.03,-71934104118.0
