row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,21.968.460.607.200,3.038.280.019.068,2.008.856.721.644,(15.295.496.194.062),11.720.101.153.850,21968460607200.0,3038280019068.0,2008856721644.0,-15295496194062.0,11720101153850.0
Doanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,8.270.327.360.842,1.898.749.320.785,1.551.024.472.223,-,11.720.101.153.850,8270327360842.0,1898749320785.0,1551024472223.0,,11720101153850.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,13.698.133.246.358,1.139.530.698.283,457.832.249.421,(15.295.496.194.062),-,13698133246358.0,1139530698283.0,457832249421.0,-15295496194062.0,
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,758.049.234.686,76.881.091.812,33.563.071.652,-,868.493.398.150,758049234686.0,76881091812.0,33563071652.0,,868493398150.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3.239.848.227.826,105.745.099.838,63.198.625.285,(383.726.101.249),3.025.065.851.700,3239848227826.0,105745099838.0,63198625285.0,-383726101249.0,3025065851700.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(17.769.583.890.027),(2.095.285.909.302),(1.385.276.775.574),15.295.496.194.062,(5.954.650.380.841),-17769583890027.0,-2095285909302.0,-1385276775574.0,15295496194062.0,-5954650380841.0
Chi phí lãi cho khách hàng bên ngoài,II. Chi phí > Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(4.765.932.757.130),(849.690.441.536),(339.027.182.175),-,(5.954.650.380.841),-4765932757130.0,-849690441536.0,-339027182175.0,,-5954650380841.0
Chi phí lãi nội bộ,II. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(13.003.651.132.897),(1.245.595.467.766),(1.046.249.593.399),15.295.496.194.062,-,-13003651132897.0,-1245595467766.0,-1046249593399.0,15295496194062.0,
2. Chi phí khấu hao tài sản cố định,II. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(85.356.266.887),(5.907.063.823),(5.666.484.024),-,(96.929.814.734),-85356266887.0,-5907063823.0,-5666484024.0,,-96929814734.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(2.891.333.453.504),(289.367.224.544),(244.641.091.965),383.726.101.249,(3.041.615.668.764),-2891333453504.0,-289367224544.0,-244641091965.0,383726101249.0,-3041615668764.0
