row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,14.907.411.403.574,10.176.929.683.473,14907411403574.0,10176929683473.0
- Bằng VND,- Bằng VND,- Bằng VND,14.307.125.771.439,9.597.960.656.945,14307125771439.0,9597960656945.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,600.285.632.135,578.969.026.528,600285632135.0,578969026528.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,39.402.428.934.601,34.888.768.058.723,39402428934601.0,34888768058723.0
- Bằng VND,- Bằng VND,- Bằng VND,39.402.147.786.851,34.888.482.464.973,39402147786851.0,34888482464973.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,281.147.750,285.593.750,281147750.0,285593750.0
Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,16.642.078.646,13.869.473.408,16642078646.0,13869473408.0
- Bằng VND,- Bằng VND,- Bằng VND,5.059.023.094,2.706.377.308,5059023094.0,2706377308.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,11.583.055.552,11.163.096.100,11583055552.0,11163096100.0
Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,43.801.097.586.154,41.823.699.039.401,43801097586154.0,41823699039401.0
- Bằng VND,- Bằng VND,- Bằng VND,43.270.157.357.625,41.199.333.411.501,43270157357625.0,41199333411501.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,530.940.228.529,624.365.627.900,530940228529.0,624365627900.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,138.276.751.352,108.956.123.463,138276751352.0,108956123463.0
- Bằng VND,- Bằng VND,- Bằng VND,35.092.705.103,35.221.696.047,35092705103.0,35221696047.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,103.184.046.249,73.734.427.416,103184046249.0,73734427416.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,565.733.092.452,310.898.869.483,565733092452.0,310898869483.0
- Bằng VND,- Bằng VND,- Bằng VND,563.386.615.801,309.901.005.614,563386615801.0,309901005614.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,2.346.476.651,997.863.869,2346476651.0,997863869.0
,,,98.831.589.846.779,87.323.121.247.951,98831589846779.0,87323121247951.0
