row_label_raw,row_label_full,NỘ PHẢI TRẢ (300 = 310 + 330),300,col_2,12.964.400.258.570,14.581.667.435.007,numeric__300,numeric__col_2,numeric__12.964.400.258.570,numeric__14.581.667.435.007
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,4.714.620.923.896,5.950.347.915.950,310.0,,4714620923896.0,5950347915950.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,20,1.048.601.949.747,1.284.961.762.512,311.0,20.0,1048601949747.0,1284961762512.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,21,136.780.178.266,321.766.352.285,312.0,21.0,136780178266.0,321766352285.0
Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,313,22,113.446.376.786,102.462.696.442,313.0,22.0,113446376786.0,102462696442.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,56.308.500.869,52.140.889.355,314.0,,56308500869.0,52140889355.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,23,216.868.137.878,329.996.545.492,315.0,23.0,216868137878.0,329996545492.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,4.697.211.060,1.964.730.577,318.0,,4697211060.0,1964730577.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,24(a),102.223.715.675,19.451.864.183,319.0,,102223715675.0,19451864183.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,320,25(a),2.838.478.333.363,3.677.264.468.074,320.0,,2838478333363.0,3677264468074.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,26,12.523.794.502,12.989.719.775,321.0,26.0,12523794502.0,12989719775.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,27,184.692.725.750,147.348.887.255,322.0,27.0,184692725750.0,147348887255.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,8.249.779.334.674,8.631.319.519.057,330.0,,8249779334674.0,8631319519057.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,,926.919.632,339.350.104,336.0,,926919632.0,339350104.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,24(b),10.845.031.988,11.297.283.088,337.0,,10845031988.0,11297283088.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,25(b),7.902.006.174.976,8.284.189.794.923,338.0,,7902006174976.0,8284189794923.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,18,304.986.716.432,315.982.038.113,341.0,18.0,304986716432.0,315982038113.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,26,31.014.491.646,19.511.052.829,342.0,26.0,31014491646.0,19511052829.0
