row_label_raw,row_label_full,col_0,31/12/2023 > Tỷ lệ sở hữu %,31/12/2023 > Tỷ lệ quyền biểu quyết %,31/12/2023 > Giá trị ghi số theo phương pháp vốn chủ VND,31/12/2023 > Giá trị hợp lý VND,numeric__31/12/2023 > Tỷ lệ sở hữu %,numeric__31/12/2023 > Tỷ lệ quyền biểu quyết %,numeric__31/12/2023 > Giá trị ghi số theo phương pháp vốn chủ VND,numeric__31/12/2023 > Giá trị hợp lý VND
Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,"25,09%","25,09%",126.907.281.952,(**),0.2509,0.2509,126907281952.0,
Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty Cổ phần Đầu tư Bất động sản CT2,"49,00%","49,00%",300.000.000.000,(**),0.49,0.49,300000000000.0,
Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,"30,08%","30,08%",1.110.046.466.720,(**),0.30079999999999996,0.30079999999999996,1110046466720.0,
Công ty Cổ phần Kho bãi Phú Bình (*),Công ty Cổ phần Kho bãi Phú Bình (*),Công ty Cổ phần Kho bãi Phú Bình (*),"36,00%","36,00%",68.400.000.000,(**),0.36,0.36,68400000000.0,
,,,,,1.605.353.748.672,,,,1605353748672.0,
