row_label_raw,row_label_full,Thuế và các khoản phải thu và phải nộp Nhà nước,Thuế và các khoản phải thu và phải nộp Nhà nước_1,Thuế và các khoản phải thu và phải nộp Nhà nước_2,Thuế và các khoản phải thu và phải nộp Nhà nước_3,Thuế và các khoản phải thu và phải nộp Nhà nước_4,Thuế và các khoản phải thu và phải nộp Nhà nước_5,Thuế và các khoản phải thu và phải nộp Nhà nước_6,numeric__Thuế và các khoản phải thu và phải nộp Nhà nước_1,numeric__Thuế và các khoản phải thu và phải nộp Nhà nước_2,numeric__Thuế và các khoản phải thu và phải nộp Nhà nước_3,numeric__Thuế và các khoản phải thu và phải nộp Nhà nước_4,numeric__Thuế và các khoản phải thu và phải nộp Nhà nước_5,numeric__Thuế và các khoản phải thu và phải nộp Nhà nước_6
,,,1/1/2023,1/1/2023,Số phải nộp trong năm VND,Số đã nộp/ bù trừ trong năm VND,31/12/2023,31/12/2023,,,,,,
,,,Số phải thu VND,Số phải nộp VND,Số phải nộp trong năm VND,Số đã nộp/ bù trừ trong năm VND,Số phải thu VND,Số phải nộp VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,(20.743.767),17.943.034.318,146.587.956.160,(137.507.405.629),-,27.002.841.082,-20743767.0,17943034318.0,146587956160.0,-137507405629.0,,27002841082.0
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",-,-,169.092.151.321,(169.092.630.953),(479.632),-,,,169092151321.0,-169092630953.0,-479632.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(778.737.801),78.445.761.369,89.085.885.338,(102.653.836.721),(761.034.370),64.860.106.555,-778737801.0,78445761369.0,89085885338.0,-102653836721.0,-761034370.0,64860106555.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(1.544.941.908),1.225.924.812,14.270.423.390,(12.390.227.396),(265.779.457),1.826.958.355,-1544941908.0,1225924812.0,14270423390.0,-12390227396.0,-265779457.0,1826958355.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,2.213.500.830,98.363.542.456,(89.866.947.457),-,10.710.095.829,,2213500830.0,98363542456.0,-89866947457.0,,10710095829.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(328.898.620),-,5.857.839.121,(5.571.765.206),(280.115.578),237.290.873,-328898620.0,,5857839121.0,-5571765206.0,-280115578.0,237290873.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,185.023.000,46.083.395.972,(38.995.848.648),-,7.272.570.324,,185023000.0,46083395972.0,-38995848648.0,,7272570324.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,54.842.236,14.268.538.652,(14.323.380.888),-,-,,54842236.0,14268538652.0,-14323380888.0,,
"Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác",-,2.394.609.877,36.338.395.793,(37.196.491.902),-,1.536.513.768,,2394609877.0,36338395793.0,-37196491902.0,,1536513768.0
,,,(2.673.322.096),102.462.696.442,619.948.128.203,(607.598.534.800),(1.307.409.037),113.446.376.786,-2673322096.0,102462696442.0,619948128203.0,-607598534800.0,-1307409037.0,113446376786.0
