row_label_raw,row_label_full,Ngân hàng TMCP Công thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Loại tiên > VND,31/12/2023 VND > 774.440.817.954 > 228.883.383.427,1/1/2023 VND > 1.229.103.789.698 > 264.811.396.169,numeric__Loại tiên > VND,numeric__31/12/2023 VND > 774.440.817.954 > 228.883.383.427,numeric__1/1/2023 VND > 1.229.103.789.698 > 264.811.396.169
Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,VND,283.545.093.202,436.326.026.864,,283545093202.0,436326026864.0
Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,VND,227.759.337.190,562.870.172.288,,227759337190.0,562870172288.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,215.792.607.518,305.917.475.964,,215792607518.0,305917475964.0
Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,VND,115.608.041.597,138.893.055.823,,115608041597.0,138893055823.0
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,VND,128.988.248.251,-,,128988248251.0,
Ngân hàng TNHH MTV Woori Bank – Chi nhánh Hoàn Kiểm,Ngân hàng TNHH MTV Woori Bank – Chi nhánh Hoàn Kiểm,Ngân hàng TNHH MTV Woori Bank – Chi nhánh Hoàn Kiểm,VND,53.591.299.638,-,,53591299638.0,
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,VND,4.853.534.209,166.966.190.893,,4853534209.0,166966190893.0
Renova Renewables Vietnam 1 Pte. Ltd.,Renova Renewables Vietnam 1 Pte. Ltd.,Renova Renewables Vietnam 1 Pte. Ltd.,USD,-,98.394.146.028,,,98394146028.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,VND,2.258.907.851,3.285.784.384,,2258907851.0,3285784384.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,USD,-,12.127.320.000,,,12127320000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,VND,56.657.524.007,12.340.000.000,,56657524007.0,12340000000.0
,,,,2.092.378.794.844,3.231.035.358.111,,2092378794844.0,3231035358111.0
