row_label_raw,row_label_full,col_0,Xây lắp và xây dựng VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Thương mại VND,"Khai thác, vận hành Khu Công nghiệp VND",Khai khoáng VND,Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Xây lắp và xây dựng VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Thương mại VND,"numeric__Khai thác, vận hành Khu Công nghiệp VND",numeric__Khai khoáng VND,numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,,,,,,
Doanh thu hợp nhất của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Doanh thu hợp nhất của bộ phân,Doanh thu hợp nhất của bộ phân,3.828.968.348.359,1.218.148.180.352,192.537.977.998,1.532.041.358.298,1.042.889.712.645,614.102.201.835,1.379.395.161.473,164.182.450.358,(2.197.025.607.450),7.775.239.783.868,3828968348359.0,1218148180352.0,192537977998.0,1532041358298.0,1042889712645.0,614102201835.0,1379395161473.0,164182450358.0,-2197025607450.0,7775239783868.0
Giá vốn hàng bán bổ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Giá vốn hàng bán bổ phân,Giá vốn hàng bán bổ phân,(3.595.376.108.331),(1.088.309.973.617),(143.827.157.734),(804.734.609.638),(1.024.318.503.004),(475.527.762.175),(1.125.389.673.275),(127.032.116.211),2.190.380.659.834,(6.194.135.244.151),-3595376108331.0,-1088309973617.0,-143827157734.0,-804734609638.0,-1024318503004.0,-475527762175.0,-1125389673275.0,-127032116211.0,2190380659834.0,-6194135244151.0
Kết quả kinh doanh của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Kết quả kinh doanh của bộ phân,Kết quả kinh doanh của bộ phân,233.592.240.028,129.838.206.735,48.710.820.264,727.306.748.660,18.571.209.641,138.574.439.660,254.005.488.198,37.150.334.147,(6.644.947.616),1.581.104.539.717,233592240028.0,129838206735.0,48710820264.0,727306748660.0,18571209641.0,138574439660.0,254005488198.0,37150334147.0,-6644947616.0,1581104539717.0
Chi phí bán hàng,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,(55.980.734.072),,,,,,,,,,-55980734072.0
Chi phí quản lý doanh nghiệp,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,(335.208.954.077),,,,,,,,,,-335208954077.0
Doanh thu hoạt động tải chính,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Doanh thu hoạt động tải chính,Doanh thu hoạt động tải chính,,,,,,,,,,182.694.013.188,,,,,,,,,,182694013188.0
Chi phí tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,(967.330.851.856),,,,,,,,,,-967330851856.0
Phần lãi trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,,,,,1.577.383.209,,,,,,,,,,1577383209.0
Kết quả từ các hoạt động khác,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,,,(17.937.240.869),,,,,,,,,,-17937240869.0
Chi phí thuế TNDN,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,,,,(85.885.165.739),,,,,,,,,,-85885165739.0
,,,,,,,,,,,,303.032.989.501,,,,,,,,,,303032989501.0
