row_label_raw,row_label_full,Ngân hàng TNHH MTV Shinhan Việt Nam,Loại tiên > VND,Lãi suất Năm > (*),Năm đáo hạn > 2026,Tài sản bảo đảm > Xe ô tô Ford Everest,31/12/2023 VND > 436.065.590,1/1/2023 VND > 622.950.830,numeric__Loại tiên > VND,numeric__Lãi suất Năm > (*),numeric__Năm đáo hạn > 2026,numeric__Tài sản bảo đảm > Xe ô tô Ford Everest,numeric__31/12/2023 VND > 436.065.590,numeric__1/1/2023 VND > 622.950.830
Asian Development Bank - A Loan,Asian Development Bank - A Loan,Asian Development Bank - A Loan,USD,"5,52%",2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",773.582.431.955,798.276.482.626,,0.0552,2036.0,,773582431955.0,798276482626.0
Asian Development Bank - B Loan,Asian Development Bank - B Loan,Asian Development Bank - B Loan,USD,"Lãi suất thả nổi: Libor kỳ hạn 3 tháng cộng biên độ 4,65% - 5,02%",2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",1.790.290.700.012,1.847.439.809.108,,,2036.0,,1790290700012.0,1847439809108.0
Export Finance Australia,Export Finance Australia,Export Finance Australia,USD,"Lãi suất thả nổi: Libor kỳ hạn 3 tháng cộng biên độ 4,65% - 5,02%",2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",707.275.348.923,729.852.772.256,,,2036.0,,707275348923.0,729852772256.0
Japan International Cooperation Agency,Japan International Cooperation Agency,Japan International Cooperation Agency,USD,"Lãi suất thả nổi: Libor kỳ hạn 6 tháng cộng biên độ 9,0%",2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",552.558.844.932,570.197.464.548,,,2036.0,,552558844932.0,570197464548.0
Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,VND,"Lãi suất thả nổi: Libor kỳ hạn 6 tháng cộng biên độ 9,0%",2025,Không có tài sản bảo đảm,364.929.000.713,364.929.000.713,,,2025.0,,364929000713.0,364929000713.0
Kỹ thương Việt Nam Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Kỹ thương Việt Nam Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Kỹ thương Việt Nam Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,"4,2%",2025,Không có tài sản bảo đảm,100.000.000.000,-,,0.042,2025.0,,100000000000.0,
Các cá nhân khác,Các cá nhân khác,Các cá nhân khác,VND,"5,0% - 6,0%",2025,Không có tài sản bảo đảm,120.000.000.000,-,,,2025.0,,120000000000.0,
,,,,,,,7.461.804.212.519(744.512.949.711),7.547.420.389.793(446.229.109.963),,,,,,
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,6.717.291.262.808,7.101.191.279.830,,,,,6717291262808.0,7101191279830.0
