row_label_raw,row_label_full,STT,Tên Công ty,Hoạt động chính,Địa chỉ,Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu,Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu_1,numeric__Tên Công ty,numeric__Hoạt động chính,numeric__Địa chỉ,numeric__Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu,numeric__Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu_1
STT,STT,STT,Tên Công ty,Hoạt động chính,Địa chỉ,31/12/2023,1/1/2023,,,,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,
1,Công ty con cấp 1 > 1,1,Công ty Cổ phần PC1 Hà Nội (trước đây là“Công ty TNHH MTV Xây lắp Điện 1 - Đại Mỗ”),Xây lắp điện,Hà Nội,"66,00%","100,00%",,,,0.66,1.0
2,Công ty con cấp 1 > 2,2,Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Xây lắp điện,Thành phốHồ Chí Minh,"100,00%","100,00%",,,,1.0,1.0
3,Công ty con cấp 1 > 3,3,Công ty TNHH MTV Xây lắp Điện 1 - Miền Bắc,Xây lắp điện,Hà Nội,"100,00%","100,00%",,,,1.0,1.0
4,Công ty con cấp 1 > 4,4,Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Xây lắp điện,Hà Nội,"100,00%","100,00%",,,,1.0,1.0
5,Công ty con cấp 1 > 5,5,Công ty TNHH MTV Xây lắp Điện 1 - Hà Đông,Xây lắp điện,Hà Nội,"100,00%","100,00%",,,,1.0,1.0
6,Công ty con cấp 1 > 6,6,Công ty TNHH MTV PC1 Nàng Hương,Cung cấp dịch vụ,Hà Nội,"66,00%","100,00%",,,,0.66,1.0
7,Công ty con cấp 1 > 7,7,Công ty Cổ phần PC1 Thăng Long (trước đây là“Công ty TNHH MTV Xây lắp Điện 1 - Hoàng Mai”),Xây lắp điện,Hà Nội,"90,00%","90,00%",,,,0.9,0.9
8,Công ty con cấp 1 > 8,8,Công ty TNHH Chế tạo Cột thép Đông Anh,"Sản xuất các loại cột thép mạ kẽm, kết cấu thép, phụ tùng phụ kiện có liên quan, dịch vụ về mạ; mua bán thép, kẽm, vật tư phục vụ sản xuất, chế tạo kết cấu thép; mua bán vật tư, thiết bị kỹ thuật điện",Điện Biên,"60,00%","60,00%",,,,0.6,0.6
9,Công ty con cấp 1 > 9,9,Công ty Cổ phần Thủy điện Trung Thu,Sản xuất và kinh doanh điện năng,Hà Nội,"99,39%","99,39%",,,,0.9939,0.9939
10,Công ty con cấp 1 > 10,10,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,"Đầu tư, kinh doanh bất động sản",Hà Nội,"51,00%","51,00%",,,,0.51,0.51
11,Công ty con cấp 1 > 11,11,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Lắp đặt máy móc và thiết bị công nghiệp,Hà Nội,"99,83%","99,83%",,,,0.9983,0.9983
12,Công ty con cấp 1 > 12,12,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Đầu tư kinh doanh bất động sản,Cao Bằng,"99,90%","99,90%",,,,0.9990000000000001,0.9990000000000001
13,Công ty con cấp 1 > 13,13,Công ty Cổ phần Năng lượng Bảo Lâm,Quản lý sau đầu tư thủy điện và điện gió,Cao Bằng,"51,00%","51,00%",,,,0.51,0.51
14,Công ty con cấp 1 > 14,14,Công ty Cổ phần Đầu tư Năng lượng Miền Bắc,Sản xuất và kinh doanh điện năng,Hà Nội,"99,95%","99,95%",,,,0.9995,0.9995
15,Công ty con cấp 1 > 15,15,Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Đầu tư kinh doanh bất động sản,Quảng Trị,"55,54%","55,54%",,,,0.5554,0.5554
16,Công ty con cấp 1 > 16,16,Công ty Cổ phần Điện gió Liên Lập,Sản xuất điện tử năng lượng gió,Quảng Trị,"54,70%","54,70%",,,,0.547,0.547
17,Công ty con cấp 1 > 17,17,Công ty Cổ phần Điện gió Phong Huy,Sản xuất điện tử năng lượng gió,Quảng Trị,"54,73%","54,73%",,,,0.5473,0.5473
18,Công ty con cấp 1 > 18,18,Công ty Cổ phần Điện gió Phong Nguyên,Sản xuất điện tử năng lượng gió,Hà Nội,"51,00%","51,00%",,,,0.51,0.51
19,Công ty con cấp 1 > 19,19,Công ty Cổ phần Đầu tư và Dịch vụ Công nghệ,Cung cấp vật tư thiết bị và cấu hình hệ thống điện,Cao Bằng,"57,27%","57,27%",,,,0.5727,0.5727
20,Công ty con cấp 1 > 20,20,Công ty Cổ phần Khoáng sản Tấn Phát,Khai thác khoáng sản,Cao Bằng,"60,00%","99,00%",,,,0.6,0.99
21,21,21,Công ty Cổ phần Đầu tư Thủy điện Sông Gâm,Sản xuất điện,,,,,,,,
