row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhửu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhửu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.618.545.938.027,6.733.227.964.821,435.140.303.960,23.008.640.807,53.154.257.670,10.863.077.105.285,3618545938027.0,6733227964821.0,435140303960.0,23008640807.0,53154257670.0,10863077105285.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.105.198.932,10.353.195.443,6.042.291.502,9.823.322.982,936.500.000,28.260.508.859,1105198932.0,10353195443.0,6042291502.0,9823322982.0,936500000.0,28260508859.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,876.431.116.632,663.653.015.665,1.635.000.000,-,2.082.582.204,1.543.801.714.501,876431116632.0,663653015665.0,1635000000.0,,2082582204.0,1543801714501.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(826.782.374),(4.175.297.137),(7.380.691.003),(455.817.282),-,(12.838.587.796),-826782374.0,-4175297137.0,-7380691003.0,-455817282.0,,-12838587796.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(655.488.016),-,-,-,(655.488.016),,-655488016.0,,,,-655488016.0
Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,Điều chính nguyên giá theo,,,,,,
quyết toán dự án,Điều chính nguyên giá theo > quyết toán dự án,quyết toán dự án,(4.339.349.286),1.092.332.831,1.430.919.330,-,-,(1.816.097.125),-4339349286.0,1092332831.0,1430919330.0,,,-1816097125.0
Phân loại lại,Điều chính nguyên giá theo > Phân loại lại,Phân loại lại,-,(736.424.043),-,736.424.043,-,-,,-736424043.0,,736424043.0,,
Số dư cuối năm,Điều chính nguyên giá theo > Số dư cuối năm,Số dư cuối năm,4.490.916.121.931,7.402.759.299.564,436.867.823.789,33.112.570.550,56.173.339.874,12.419.829.155.708,4490916121931.0,7402759299564.0,436867823789.0,33112570550.0,56173339874.0,12419829155708.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,792.473.295.786,1.103.618.654.920,314.135.596.261,15.859.319.822,40.757.620.619,2.266.844.487.408,792473295786.0,1103618654920.0,314135596261.0,15859319822.0,40757620619.0,2266844487408.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,182.700.022.201,430.099.713.246,24.582.070.767,2.474.113.552,4.840.248.412,644.696.168.178,182700022201.0,430099713246.0,24582070767.0,2474113552.0,4840248412.0,644696168178.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(556.066.439),(4.684.887.204),(4.715.371.174),(301.326.732),-,(10.257.651.549),-556066439.0,-4684887204.0,-4715371174.0,-301326732.0,,-10257651549.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(655.488.016),-,-,-,(655.488.016),,-655488016.0,,,,-655488016.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(648.615.838),-,648.615.838,-,-,,-648615838.0,,648615838.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,974.617.251.548,1.527.729.377.108,334.002.295.854,18.680.722.480,45.597.869.031,2.900.627.516.021,974617251548.0,1527729377108.0,334002295854.0,18680722480.0,45597869031.0,2900627516021.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.826.072.642.241,5.629.609.309.901,121.004.707.699,7.149.320.985,12.396.637.051,8.596.232.617.877,2826072642241.0,5629609309901.0,121004707699.0,7149320985.0,12396637051.0,8596232617877.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.516.298.870.383,5.875.029.922.456,102.865.527.935,14.431.848.070,10.575.470.843,9.519.201.639.687,3516298870383.0,5875029922456.0,102865527935.0,14431848070.0,10575470843.0,9519201639687.0
