row_label_raw,row_label_full,col_0,Xây lắp và xây dựng VND,Sản xuất công nghiệp VND,Bắt động sản VND,Năng lượng VND,Thương mại VND,"Khai thác, vận hành Khu Công nghiệp VND",Khai khoáng VND,Các hoạt động khác VND,Hợp nhất VND,numeric__Xây lắp và xây dựng VND,numeric__Sản xuất công nghiệp VND,numeric__Bắt động sản VND,numeric__Năng lượng VND,numeric__Thương mại VND,"numeric__Khai thác, vận hành Khu Công nghiệp VND",numeric__Khai khoáng VND,numeric__Các hoạt động khác VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,,,,
Tài sản của bộ phận Tài sản không phân bổ,Tại ngày 31 tháng 12 năm 2023 > Tài sản của bộ phận Tài sản không phân bổ,Tài sản của bộ phận Tài sản không phân bổ,1.785.112.438.471,615.627.526.236,641.021.661.625,9.375.187.205.478,427.528.123.407,967.507.580.226,2.123.493.727.661,60.903.882.697,15.996.382.145.8014.238.415.423.613,1785112438471.0,615627526236.0,641021661625.0,9375187205478.0,427528123407.0,967507580226.0,2123493727661.0,60903882697.0,1.5996382145801423e+26
Tổng tài sản,Tại ngày 31 tháng 12 năm 2023 > Tổng tài sản,Tổng tài sản,,,,,,,,,20.234.797.569.414,,,,,,,,,20234797569414.0
Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Tại ngày 31 tháng 12 năm 2023 > Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Nợ phải trả của bộ phận Nợ phải trả không phân bổ,1.285.497.458.389,462.921.677.656,175.788.886.205,5.961.831.694.396,87.253.110.028,46.218.223.152,1.375.877.222.497,3.828.607.130,9.399.216.879.4533.565.183.379.117,1285497458389.0,462921677656.0,175788886205.0,5961831694396.0,87253110028.0,46218223152.0,1375877222497.0,3828607130.0,9.399216879453356e+25
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2023 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,12.964.400.258.570,,,,,,,,,12964400258570.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chỉ tiêu vốn,Chỉ tiêu vốn,7.472.558.750,16.465.294.758,-,25.554.140.852,-,19.878.004.297,417.551.228.726,19.400.866.320,506.322.093.703,7472558750.0,16465294758.0,,25554140852.0,,19878004297.0,417551228726.0,19400866320.0,506322093703.0
Khẩu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,19.195.175.416,10.976.436.527,1.308.947.444,502.465.450.199,-,15.719.182.762,87.999.925.934,7.031.049.896,644.696.168.178,19195175416.0,10976436527.0,1308947444.0,502465450199.0,,15719182762.0,87999925934.0,7031049896.0,644696168178.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,83.832.799,30.768.719,-,-,-,17.837.760.714,45.466.804.505,255.999.998,63.675.166.735,83832799.0,30768719.0,,,,17837760714.0,45466804505.0,255999998.0,63675166735.0
Khẩu hao tài sản cố định hữu hìnhthuê tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao tài sản cố định hữu hìnhthuê tài chính,Khẩu hao tài sản cố định hữu hìnhthuê tài chính,714.741.008,-,-,-,-,-,-,-,714.741.008,714741008.0,,,,,,,,714741008.0
Khẩu hao bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao bắt động sản đầu tư,Khẩu hao bắt động sản đầu tư,-,-,11.283.445.012,-,-,13.314.633.201,-,-,24.598.078.213,,,11283445012.0,,,13314633201.0,,,24598078213.0
