row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Chung cư cho thuê VND,Nhà xưởng VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Chung cư cho thuê VND,numeric__Nhà xưởng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.863.258.867,279.132.090.464,395.357.617.000,681.352.966.331,6863258867.0,279132090464.0,395357617000.0,681352966331.0
Nhượng bán,Nguyên giá > Nhượng bán,Nhượng bán,(1.888.779.005),(121.376.158.314),-,(123.264.937.319),-1888779005.0,-121376158314.0,,-123264937319.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.974.479.862,157.755.932.150,395.357.617.000,558.088.029.012,4974479862.0,157755932150.0,395357617000.0,558088029012.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.930.564.879,66.817.920.355,340.555.215.293,410.303.700.527,2930564879.0,66817920355.0,340555215293.0,410303700527.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,136.045.725,11.283.445.012,13.178.587.476,24.598.078.213,136045725.0,11283445012.0,13178587476.0,24598078213.0
Nhượng bán,Giá trị hao mòn lũy kế > Nhượng bán,Nhượng bán,(381.642.179),(22.107.279.871),-,(22.488.922.050),-381642179.0,-22107279871.0,,-22488922050.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.684.968.425,55.994.085.496,353.733.802.769,412.412.856.690,2684968425.0,55994085496.0,353733802769.0,412412856690.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.932.693.988,212.314.170.109,54.802.401.707,271.049.265.804,3932693988.0,212314170109.0,54802401707.0,271049265804.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.289.511.437,101.761.846.654,41.623.814.231,145.675.172.322,2289511437.0,101761846654.0,41623814231.0,145675172322.0
