row_label_raw,row_label_full,col_0,Quyền khai thác khoáng sản VND,"Quyền khai thác, vận hành khu công nghiệp NHIZ VND",Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Khác VND,Tổng cộng VND,numeric__Quyền khai thác khoáng sản VND,"numeric__Quyền khai thác, vận hành khu công nghiệp NHIZ VND",numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,977.536.296.866,385.284.021.525,17.896.191.733,5.138.606.600,105.331.819,1.385.960.448.543,977536296866.0,385284021525.0,17896191733.0,5138606600.0,105331819.0,1385960448543.0
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,977.536.296.866,385.284.021.525,17.896.191.733,126.500.000,105.331.819,126.500.000,977536296866.0,385284021525.0,17896191733.0,126500000.0,105331819.0,126500000.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,-,-,(3.646.663.291),,,,,,-3646663291.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.646.663.291),-,-,(71.664.000),,,-3646663291.0,,,-71664000.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,-,-,(71.664.000),-,(71.664.000),,,,-71664000.0,,-71664000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,977.536.296.866,385.284.021.525,14.249.528.442,5.193.442.600,105.331.819,1.382.368.621.252,977536296866.0,385284021525.0,14249528442.0,5193442600.0,105331819.0,1382368621252.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,70.094.656.945,2.479.857.547,7.171.997.850,4.192.770.207,105.331.819,84.044.614.368,70094656945.0,2479857547.0,7171997850.0,4192770207.0,105331819.0,84044614368.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,45.466.804.505,17.418.614.787,321.865.923,467.881.520,-,63.675.166.735,45466804505.0,17418614787.0,321865923.0,467881520.0,,63675166735.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(1.201.406.199),-,-,(1.201.406.199),,,-1201406199.0,,,-1201406199.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,-,-,(20.576.398),-,(20.576.398),,,,-20576398.0,,-20576398.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,115.561.461.450,19.898.472.334,6.292.457.574,4.640.075.329,105.331.819,146.497.798.506,115561461450.0,19898472334.0,6292457574.0,4640075329.0,105331819.0,146497798506.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,907.441.639.921,382.804.163.978,10.724.193.883,945.836.393,-,1.301.915.834.175,907441639921.0,382804163978.0,10724193883.0,945836393.0,,1301915834175.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,861.974.835.416,365.385.549.191,7.957.070.868,553.367.271,-,1.235.870.822.746,861974835416.0,365385549191.0,7957070868.0,553367271.0,,1235870822746.0
