row_label_raw,row_label_full,col_0,Loại tiền,Năm đáo hạn,31/12/2023VND,1/1/2023VND,numeric__Loại tiền,numeric__Năm đáo hạn,numeric__31/12/2023VND,numeric__1/1/2023VND
Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,,,,
Lô 1,Trái phiếu phát hành theo mệnh giá > Lô 1,Lô 1,VND,2027,300.000.000.000,300.000.000.000,,2027.0,300000000000.0,300000000000.0
Lô 2,Trái phiếu phát hành theo mệnh giá > Lô 2,Lô 2,VND,2027,900.000.000.000,900.000.000.000,,2027.0,900000000000.0,900000000000.0
,,,,,1.200.000.000.000,1.200.000.000.000,,,1200000000000.0,1200000000000.0
Chi phí phát hành trái phiếu,Trái phiếu phát hành theo mệnh giá > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,,(16.100.236.482),(20.834.250.223),,,-16100236482.0,-20834250223.0
Trái phiếu đáo hạn sau 12 tháng,Trái phiếu phát hành theo mệnh giá > Trái phiếu đáo hạn sau 12 tháng,Trái phiếu đáo hạn sau 12 tháng,,,1.183.899.763.518,1.179.165.749.777,,,1183899763518.0,1179165749777.0
