row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tải > VND,Dịch vụ kho nối > VND,Thương mại > VND,Dịch vụ khác > VND,Tổng > VND,numeric__Dịch vụ vận tải > VND,numeric__Dịch vụ kho nối > VND,numeric__Thương mại > VND,numeric__Dịch vụ khác > VND,numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,18.772.815.385.979,673.484.089.051,576.328.760.978,76.258.729.145,20.098.886.965.153,18772815385979.0,673484089051.0,576328760978.0,76258729145.0,20098886965153.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,48.416.903.186,,,,,48416903186.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.161.352.587.598,,,,,2161352587598.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,22.308.656.455.937,,,,,22308656455937.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,9.616.953.913.384,237.114.349.686,473.589.141.610,142.825.810.522,10.470.483.215.202,9616953913384.0,237114349686.0,473589141610.0,142825810522.0,10470483215202.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,347.983.956.737,,,,,347983956737.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,10.818.467.171.939,,,,,10818467171939.0
Số đầu năm,Số đầu năm,Số đầu năm,Dịch vụ vận tải,Dịch vụ kho nối,Thương mại,Dịch vụ khác,Tổng,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,16.255.567.783.929,910.678.260.881,162.457.153.749,351.617.575.869,17.680.320.774.428,16255567783929.0,910678260881.0,162457153749.0,351617575869.0,17680320774428.0
Lãi từ công ty liên kết,Số đầu năm > Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,48.796.022.972,,,,,48796022972.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.129.036.255.349,,,,,2129036255349.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,19.858.153.052.749,,,,,19858153052749.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,8.277.933.196.961,219.034.354.447,150.916.863.487,162.246.495.009,8.810.130.909.904,8277933196961.0,219034354447.0,150916863487.0,162246495009.0,8810130909904.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,658.547.597.697,,,,,658547597697.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,9.468.678.507.601,,,,,9468678507601.0
