row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị VND,Số đầu năm > Đã nhận nợ VND,Trong năm > Phân loại thời hạn nợ VND,Trong năm > Thanh toán VND,Trong năm > Chênh lệch tỷ giá VND,Số cuối năm > Giá trị VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Đã nhận nợ VND,numeric__Trong năm > Phân loại thời hạn nợ VND,numeric__Trong năm > Thanh toán VND,numeric__Trong năm > Chênh lệch tỷ giá VND,numeric__Số cuối năm > Giá trị VND
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),14.954.906.692,490.331.863.789,-,(465.146.749.481),-,40.140.021.000,14954906692.0,490331863789.0,,-465146749481.0,,40140021000.0
Vay dài hạn đến hạn trả (Thuyết minh số 23),Vay dài hạn đến hạn trả (Thuyết minh số 23),Vay dài hạn đến hạn trả (Thuyết minh số 23),1.473.447.708.421,-,1.559.018.723.931,(1.681.479.075.456),3.036.871.830,1.354.024.228.726,1473447708421.0,,1559018723931.0,-1681479075456.0,3036871830.0,1354024228726.0
,,,1.488.402.615.113,490.331.863.789,1.559.018.723.931,(2.146.625.824.937),3.036.871.830,1.394.164.249.726,1488402615113.0,490331863789.0,1559018723931.0,-2146625824937.0,3036871830.0,1394164249726.0
