row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.899.525.806.593,1.152.030.770.539,1899525806593.0,1152030770539.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,3.045.064.561.124,3.423.215.602.542,3045064561124.0,3423215602542.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,2.131.036.807.111,1.422.872.792.156,2131036807111.0,1422872792156.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,7.075.627.174.828,5.998.119.165.237,7075627174828.0,5998119165237.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,7.639.528.230.063,6.863.933.321.673,7639528230063.0,6863933321673.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.684.212.213.233,1.324.912.066.330,1684212213233.0,1324912066330.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,171.377.497.316,161.752.841.337,171377497316.0,161752841337.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,9.495.117.940.612,8.350.598.229.340,9495117940612.0,8350598229340.0
