row_label_raw,row_label_full,CHÌ TIÊU,CHÌ TIÊU_1,Mã tốt > số,Mã tốt > minh,Năm nay,Năm trước,numeric__CHÌ TIÊU_1,numeric__Mã tốt > số,numeric__Mã tốt > minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,16.012.813.858.007,11.732.148.061.983,,1.0,,16012813858007.0,11732148061983.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,27,16.012.813.858.007,11.732.148.061.983,,10.0,27.0,16012813858007.0,11732148061983.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,28,13.665.419.226.682,9.288.346.580.908,,11.0,28.0,13665419226682.0,9288346580908.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.347.394.631.325,2.443.801.481.075,,20.0,,2347394631325.0,2443801481075.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,30,307.529.855.790,306.618.629.376,,21.0,30.0,307529855790.0,306618629376.0
6.,6.,6.,Chi phí tài chính,22,31,572.420.827.537,574.082.249.040,,22.0,31.0,572420827537.0,574082249040.0
,,,- Trong đó: Chi phí lãi vay,23,,435.263.188.386,417.711.767.303,,23.0,,435263188386.0,417711767303.0
7.,7.,7.,Phân lãi trong công ty liên kết,24,13,21.483.041.495,16.992.631.587,,24.0,13.0,21483041495.0,16992631587.0
8.,8.,8.,Chi phí bán hàng,25,32,13.859.536.248,16.586.106.482,,25.0,32.0,13859536248.0,16586106482.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,32,529.620.568.469,488.801.469.185,,26.0,32.0,529620568469.0,488801469185.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+24+(21-22)-(25+26)),30,,1.560.506.596.356,1.687.942.917.331,,30.0,,1560506596356.0,1687942917331.0
11.,11.,11.,Thu nhập khác,31,,127.335.941.395,263.761.144.581,,31.0,,127335941395.0,263761144581.0
12.,12.,12.,Chi phí khác,32,,34.237.059.961,83.313.002.285,,32.0,,34237059961.0,83313002285.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,33,93.098.881.434,180.448.142.296,,40.0,33.0,93098881434.0,180448142296.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.653.605.477.790,1.868.391.059.627,,50.0,,1653605477790.0,1868391059627.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,335.541.115.086,396.904.427.917,,51.0,34.0,335541115086.0,396904427917.0
16.,16.,16.,(Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,52,15,(10.832.438.759),1.858.270.791,,52.0,15.0,-10832438759.0,1858270791.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.328.896.801.463,1.469.628.360.919,,60.0,,1328896801463.0,1469628360919.0
,,,Phân bổ cho:,,,,,,,,,
,,,- Lợi nhuận sau thuế của cổ đông của Công ty mẹ,61,,1.037.772.781.983,1.093.233.969.561,,61.0,,1037772781983.0,1093233969561.0
,,,- Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,291.124.019.480,376.394.391.358,,62.0,,291124019480.0,376394391358.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,35,2.075,2.185,,70.0,35.0,2075.0,2185.0
