row_label_raw,row_label_full,col_0,Dịch vụ vận tảiVND,Dịch vụ kho nổiVND,Thuống mạiVND,Dịch vụ khácVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Dịch vụ kho nổiVND,numeric__Thuống mạiVND,numeric__Dịch vụ khácVND,numeric__TổngVND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,9.857.384.636.170,589.704.260.295,5.156.412.373.548,409.312.587.994,16.012.813.858.007,9857384636170.0,589704260295.0,5156412373548.0,409312587994.0,16012813858007.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,7.815.635.943.516,367.036.095.374,5.134.276.358.578,348.470.829.214,13.665.419.226.682,7815635943516.0,367036095374.0,5134276358578.0,348470829214.0,13665419226682.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,2.041.748.692.654,222.668.164.921,22.136.014.970,60.841.758.780,2.347.394.631.325,2041748692654.0,222668164921.0,22136014970.0,60841758780.0,2347394631325.0
Chi phí không phân bổ,Lợi nhuận gộp > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(543.480.104.717),,,,,-543480104717.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,1.803.914.526.608,,,,,1803914526608.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,307.529.855.790,,,,,307529855790.0
Phần lãi trong công ty liên kết,Lợi nhuận gộp > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,21.483.041.495,,,,,21483041495.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,93.098.881.434,,,,,93098881434.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(572.420.827.537),,,,,-572420827537.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.653.605.477.790,,,,,1653605477790.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(335.541.115.086),,,,,-335541115086.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,10.832.438.759,,,,,10832438759.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,1.328.896.801.463,,,,,1328896801463.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,2.191.241.380.160,,,,,2191241380160.0
