row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phàinộp/thutrong nămVND,Số đã thựcnộp/thutrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phàinộp/thutrong nămVND,numeric__Số đã thựcnộp/thutrong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.995.773,-,-,18.995.773,18995773.0,,,18995773.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,500.000,500.000,-,-,500000.0,500000.0,,
,,,19.495.773,500.000,-,18.995.773,19495773.0,500000.0,,18995773.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,14.451.198.418,149.572.645.648,146.888.147.118,17.135.696.948,14451198418.0,149572645648.0,146888147118.0,17135696948.0
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,1.447.358.219,1.447.358.219,-,,1447358219.0,1447358219.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,146.529.739.538,335.541.115.086,368.186.442.812,113.884.411.812,146529739538.0,335541115086.0,368186442812.0,113884411812.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.039.355.020,40.887.619.799,42.827.902.490,6.099.072.329,8039355020.0,40887619799.0,42827902490.0,6099072329.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,3.424.041,4.835.078.682,4.734.069.590,104.433.133,3424041.0,4835078682.0,4734069590.0,104433133.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,43.293.524,3.509.712.329,3.481.027.844,71.978.009,43293524.0,3509712329.0,3481027844.0,71978009.0
,,,169.067.010.541,535.793.529.763,567.564.948.073,137.295.592.231,169067010541.0,535793529763.0,567564948073.0,137295592231.0
