row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,17.808.786.946,5.352.818.717,657.166.005,482.733.600,24.301.505.268,17808786946.0,5352818717.0,657166005.0,482733600.0,24301505268.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,4.129.369.018,-,-,4.129.369.018,,4129369018.0,,,4129369018.0
Kết chuyển từ đầu tư xây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển từ đầu tư xây dựng cơ bản dở dang,Kết chuyển từ đầu tư xây dựng cơ bản dở dang,-,1.965.853.182,-,-,1.965.853.182,,1965853182.0,,,1965853182.0
Kết chuyển sang đầu tư xây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển sang đầu tư xây dựng cơ bản dở dang,Kết chuyển sang đầu tư xây dựng cơ bản dở dang,(2.514.726.885),-,-,-,(2.514.726.885),-2514726885.0,,,,-2514726885.0
Kết chuyển qua bất động sản đầu tư,Nguyên giá: > Kết chuyển qua bất động sản đầu tư,Kết chuyển qua bất động sản đầu tư,(1.689.632.300),-,-,-,(1.689.632.300),-1689632300.0,,,,-1689632300.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,13.604.427.761,11.448.040.917,657.166.005,482.733.600,26.192.368.283,13604427761.0,11448040917.0,657166005.0,482733600.0,26192368283.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,735.341.309,442.166.005,107.434.600,1.284.941.914,,735341309.0,442166005.0,107434600.0,1284941914.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(340.743.969),(1.423.799.840),(498.561.847),(237.363.738),(2.500.469.394),-340743969.0,-1423799840.0,-498561847.0,-237363738.0,-2500469394.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(1.620.996.920),(82.354.168),(85.224.804),(1.788.575.892),,-1620996920.0,-82354168.0,-85224804.0,-1788575892.0
Kết chuyển sang đầu tư xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế: > Kết chuyển sang đầu tư xây dựng cơ bản dở dang,Kết chuyển sang đầu tư xây dựng cơ bản dở dang,340.743.969,-,-,-,340.743.969,340743969.0,,,,340743969.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,(3.044.796.760),(580.916.015),(322.588.542),(3.948.301.317),,-3044796760.0,-580916015.0,-322588542.0,-3948301317.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,17.468.042.977,3.929.018.877,158.604.158,245.369.862,21.801.035.874,17468042977.0,3929018877.0,158604158.0,245369862.0,21801035874.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,13.604.427.761,8.403.244.157,76.249.990,160.145.058,22.244.066.966,13604427761.0,8403244157.0,76249990.0,160145058.0,22244066966.0
