row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 34) (i) Cho vay bên khác,Số cuối năm > 756.370.320 > -,VND > Số đầu năm > 34.800.000.000 > 137.500.000.000,numeric__Số cuối năm > 756.370.320 > -,numeric__VND > Số đầu năm > 34.800.000.000 > 137.500.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,756.370.320,172.300.000.000,756370320.0,172300000000.0
(i) Chi tiết khoản cho vay ngắn hạn bên liên quan như sau:,(i) Chi tiết khoản cho vay ngắn hạn bên liên quan như sau:,(i) Chi tiết khoản cho vay ngắn hạn bên liên quan như sau:,(i) Chi tiết khoản cho vay ngắn hạn bên liên quan như sau:,(i) Chi tiết khoản cho vay ngắn hạn bên liên quan như sau:,,
Bên vay,Bên vay,Bên vay,Số cuối năm,Hình thức đảm bảo,,
Bên vay,Bên vay,Bên vay,VND,,,
