row_label_raw,row_label_full,Ông Nguyễn Trường Sơn,Phó TGD,Ứng tiền thực hiện dự án,30.000.000.000,-,numeric__Phó TGD,numeric__Ứng tiền thực hiện dự án,numeric__30.000.000.000,numeric__-
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Nha Trang Petrol,Phải thu về cho vay ngắn hạn > Nha Trang Petrol,Nha Trang Petrol,Bên liên quan,Cho vay,756.370.320,-,,,756370320.0,
LDG,Phải thu về cho vay ngắn hạn > LDG,LDG,Công ty liên kết,Cho vay,-,34.800.000.000,,,,34800000000.0
,,,,,756.370.320,34.800.000.000,,,756370320.0,34800000000.0
