row_label_raw,row_label_full,col_0,col_1,VND,VND_1,numeric__col_1,numeric__VND,numeric__VND_1
,,,,Số cuối năm,Số đầu năm,,,
Bất động sản dở dang,Bất động sản dở dang,Bất động sản dở dang,(i),3.800.536.462.426,2.965.209.292.615,,3800536462426.0,2965209292615.0
Bất động sản thành phẩm,Bất động sản thành phẩm,Bất động sản thành phẩm,,634.996.194.531,301.369.764.206,,634996194531.0,301369764206.0
- Dự án Opal Garden,- Dự án Opal Garden,- Dự án Opal Garden,,508.245.868.666,-,,508245868666.0,
- Dự án Lux Garden,- Dự án Lux Garden,- Dự án Lux Garden,,67.782.980.530,-,,67782980530.0,
- Dự án Luxcity,- Dự án Luxcity,- Dự án Luxcity,,33.305.610.202,-,,33305610202.0,
- Dự án Khu dân cư nút giao thôngPhó Đức Chính và Ngô Quyền,- Dự án Khu dân cư nút giao thôngPhó Đức Chính và Ngô Quyền,- Dự án Khu dân cư nút giao thôngPhó Đức Chính và Ngô Quyền,,11.948.084.902,7.658.084.902,,11948084902.0,7658084902.0
- Dự án An Viên,- Dự án An Viên,- Dự án An Viên,,4.235.209.583,4.106.363.572,,4235209583.0,4106363572.0
- Dự án Opal Riverside,- Dự án Opal Riverside,- Dự án Opal Riverside,,4.096.883.822,285.550.251.829,,4096883822.0,285550251829.0
"- Dự án Sunview 1, 2","- Dự án Sunview 1, 2","- Dự án Sunview 1, 2",,2.916.521.279,4.055.063.903,,2916521279.0,4055063903.0
- Dự án One River - Phú Mỹ An,- Dự án One River - Phú Mỹ An,- Dự án One River - Phú Mỹ An,,2.465.035.547,-,,2465035547.0,
Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,,102.064.640.440,90.341.649.278,,102064640440.0,90341649278.0
Bất động sản hàng hóa,Bất động sản hàng hóa,Bất động sản hàng hóa,(ii),75.653.410.844,48.047.081.160,,75653410844.0,48047081160.0
Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,,4.616.960.917,7.521.663.279,,4616960917.0,7521663279.0
Hàng hóa,Hàng hóa,Hàng hóa,,2.470.075.150,993.228.160,,2470075150.0,993228160.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",,948.078.449,736.216.249,,948078449.0,736216249.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,4.621.285.822.757,3.414.218.894.947,,4621285822757.0,3414218894947.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,,(16.134.735.940),(13.635.677.006),,-16134735940.0,-13635677006.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,4.605.151.086.817,3.400.583.217.941,,4605151086817.0,3400583217941.0
