row_label_raw,row_label_full,col_0,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ biểu quyết%,Số cuối năm > Giá trị ghi sốVND,Số đầu năm > Tỷ lệ biểu quyết%,Số đầu năm > Giá trị ghi sốVND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ biểu quyết%,numeric__Số cuối năm > Giá trị ghi sốVND,numeric__Số đầu năm > Tỷ lệ biểu quyết%,numeric__Số đầu năm > Giá trị ghi sốVND
LDG,LDG,LDG,Kinh doanh BĐS,"42,96",1.100.366.004.321,"43,38",844.099.020.056,,42.96,1100366004321.0,43.38,844099020056.0
Phú Lạc Phú Quốc(Thuyết minh số 4.6),Phú Lạc Phú Quốc(Thuyết minh số 4.6),Phú Lạc Phú Quốc(Thuyết minh số 4.6),Dịch vụ du lịch,,-,"29,50",117.984.191.311,,,,29.5,117984191311.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.100.366.004.321,,962.083.211.367,,,1100366004321.0,,962083211367.0
