row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.031.926.860.000,10.867.980.806,(2.500.560.000),27.527.428.669,745.716.430.895(393.787.260.000),840.307.037.195,4.653.845.177.565,3031926860000.0,10867980806.0,-2500560000.0,27527428669.0,,840307037195.0,4653845177565.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),393.787.260.000,-,-,-,1.178.426.985.263,544.367.757.284,1.722.794.742.547,393787260000.0,,,,1178426985263.0,544367757284.0,1722794742547.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,(7.496.904.740),-,-,,,,,-7496904740.0,,
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,7.496.904.740,,,,,,,7496904740.0,,,
"Trích quỹ khen thưởng,phúc lợi","Năm nay > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(67.064.968.998),(42.730.797.949),(109.795.766.947),,,,,-67064968998.0,-42730797949.0,-109795766947.0
Góp vốn từ cổ đông khôngkiểm soát,Năm nay > Góp vốn từ cổ đông khôngkiểm soát,Góp vốn từ cổ đông khôngkiểm soát,-,-,-,-,-,434.001.500.000,434.001.500.000,,,,,,434001500000.0,434001500000.0
Cổ tức chia cho cổ đôngkhông kiểm soát,Năm nay > Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,-,-,-,-,-,(569.250.827.944),(569.250.827.944),,,,,,-569250827944.0,-569250827944.0
Tăng do muacông ty con mới,Năm nay > Tăng do muacông ty con mới,Tăng do muacông ty con mới,-,-,-,-,-,5.783.550.148,5.783.550.148,,,,,,5783550148.0,5783550148.0
Giảm do thanh lýkhoản đầu tư,Năm nay > Giảm do thanh lýkhoản đầu tư,Giảm do thanh lýkhoản đầu tư,-,-,-,-,-,(13.284.289.386),(13.284.289.386),,,,,,-13284289386.0,-13284289386.0
Phát hành cổ phiếu theoChương trình lựa chọn chongười lao động (**),Năm nay > Phát hành cổ phiếu theoChương trình lựa chọn chongười lao động (**),Phát hành cổ phiếu theoChương trình lựa chọn chongười lao động (**),75.000.000.000,-,-,-,-,-,75.000.000.000,75000000000.0,,,,,,75000000000.0
Thay đổi từ việctái cấu trúc,Năm nay > Thay đổi từ việctái cấu trúc,Thay đổi từ việctái cấu trúc,-,-,-,(5.584.552),(230.195.685),235.780.237,-,,,,-5584552.0,-230195685.0,235780237.0,
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.714.120.000,10.867.980.806,(2.500.560.000),35.018.748.857,1.455.564.086.735,1.199.429.709.585,6.199.094.085.983,3500714120000.0,10867980806.0,-2500560000.0,35018748857.0,1455564086735.0,1199429709585.0,6199094085983.0
