row_label_raw,row_label_full,Số dư đầu năm > Khấu hao trong năm,(1.937.691.353) > (1.371.078.747),numeric__(1.937.691.353) > (1.371.078.747)
Thanh lý,Thanh lý,Thanh lý,554.451.112,554451112.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,(2.754.318.988),-2754318988.0
