row_label_raw,row_label_full,col_0,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Băng cân đối kế toán hợp nhất,numeric__Băng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,8.286.131.667,7.798.176.682,487.954.985,7.137.054.510,8286131667.0,7798176682.0,487954985.0,7137054510.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,7.768.086.135,6.039.627.340,1.728.458.795,5.831.627.340,7768086135.0,6039627340.0,1728458795.0,5831627340.0
Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,299.200.797,299.200.797,-,299.200.797,299200797.0,299200797.0,,299200797.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),14.303.355.542,13.736.256.964,567.098.578,11.710.589.322,14303355542.0,13736256964.0,567098578.0,11710589322.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,30.656.774.141,27.873.261.783,,,30656774141.0,27873261783.0,,
Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,2.783.512.358,24.978.471.969,,,2783512358.0,24978471969.0
