row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 38.945.440.760,Số phải nộp trong năm > 227.880.705.108,Số đã nộp trong năm > (181.520.800.754),Giảm do thanh lý khoản đầu tư > -,VND Số cuối năm > 85.305.345.114,numeric__Số đầu năm > 38.945.440.760,numeric__Số phải nộp trong năm > 227.880.705.108,numeric__Số đã nộp trong năm > (181.520.800.754),numeric__Giảm do thanh lý khoản đầu tư > -,numeric__VND Số cuối năm > 85.305.345.114
Thuế TNDN,Thuế TNDN,Thuế TNDN,226.041.105.232,381.773.261.869,(260.950.055.077),-,346.864.312.024,226041105232.0,381773261869.0,-260950055077.0,,346864312024.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.627.695.661,98.444.341.425,(72.660.438.007),(13.392.500),33.398.206.579,7627695661.0,98444341425.0,-72660438007.0,-13392500.0,33398206579.0
Khác,Khác,Khác,13.920.576,1.139.474.598,(1.136.458.808),-,16.936.366,13920576.0,1139474598.0,-1136458808.0,,16936366.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,272.628.162.229,709.237.783.000,(516.267.752.646),(13.392.500),465.584.800.083,272628162229.0,709237783000.0,-516267752646.0,-13392500.0,465584800083.0
