row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,2.530.490.680.000,10.867.980.806,(580.000.000),27.151.657.159,676.747.251.369,292.677.503.760,3.537.355.073.094,2530490680000.0,10867980806.0,-580000000.0,27151657159.0,676747251369.0,292677503760.0,3537355073094.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,471.436.180.000,-,-,-,(471.436.180.000),-,-,471436180000.0,,,,-471436180000.0,,
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,-,(126.399.506.000),-,(126.399.506.000),,,,,-126399506000.0,,-126399506000.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động,Chương trình lựa chọn cho người lao động,30.000.000.000,-,-,-,(30.000.000.000),-,-,30000000000.0,,,,-30000000000.0,,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,750.890.745.509,334.529.506.846,1.085.420.252.355,,,,,750890745509.0,334529506846.0,1085420252355.0
Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,-,-,(1.920.560.000),-,1.920.560.000,-,-,,,-1920560000.0,,1920560000.0,,
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,375.771.510,(375.771.510),-,-,,,,375771510.0,-375771510.0,,
"Trích quỹ khen thưởng, phúc lợi","Phát hành cổ phiếu theo > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(36.229.978.314),(9.037.525.469),(45.267.503.783),,,,,-36229978314.0,-9037525469.0,-45267503783.0
Góp vốn từ cổ đông không kiểm soát,Phát hành cổ phiếu theo > Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,403.163.000.000,403.163.000.000,,,,,,403163000000.0,403163000000.0
Cổ tức chia cho cổ đông không kiểm soát,Phát hành cổ phiếu theo > Cổ tức chia cho cổ đông không kiểm soát,Cổ tức chia cho cổ đông không kiểm soát,-,-,-,-,-,(172.325.750.000),(172.325.750.000),,,,,,-172325750000.0,-172325750000.0
Tăng do mua công ty con mới,Phát hành cổ phiếu theo > Tăng do mua công ty con mới,Tăng do mua công ty con mới,-,-,-,-,-,492.268.925,492.268.925,,,,,,492268925.0,492268925.0
Giảm do thanh lý khoản đầu tư,Phát hành cổ phiếu theo > Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,-,-,-,-,-,(818.609.170),(818.609.170),,,,,,-818609170.0,-818609170.0
Thay đổi quyền sở hữu trong công ty con,Phát hành cổ phiếu theo > Thay đổi quyền sở hữu trong công ty con,Thay đổi quyền sở hữu trong công ty con,-,-,-,-,(19.400.690.159),(8.373.357.697),(27.774.047.856),,,,,-19400690159.0,-8373357697.0,-27774047856.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,3.031.926.860.000,10.867.980.806,(2.500.560.000),27.527.428.669,745.716.430.895,840.307.037.195,4.653.845.177.565,3031926860000.0,10867980806.0,-2500560000.0,27527428669.0,745716430895.0,840307037195.0,4653845177565.0
