row_label_raw,row_label_full,col_0,Dịch vụbắt động sản,Đầu tư và phát triểndự án bắt động sản,Dịch vụ xây dựng,Loại trừ,Tổng cộng,numeric__Dịch vụbắt động sản,numeric__Đầu tư và phát triểndự án bắt động sản,numeric__Dịch vụ xây dựng,numeric__Loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,
Doanh thu thuầnDoanh thu hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Doanh thu thuầnDoanh thu hoạt động kinh doanh,Doanh thu thuầnDoanh thu hoạt động kinh doanh,1.935.689.365.721,1.101.871.463.508,212.329.469.445,(370.648.908.727),2.879.241.389.947,1935689365721.0,1101871463508.0,212329469445.0,-370648908727.0,2879241389947.0
Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,1.307.438.087.488,450.587.392.618,(10.990.610.143),(17.233.501.139),1.729.801.368.824(543.523.331.091),1307438087488.0,450587392618.0,-10990610143.0,-17233501139.0,
Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,,,,,1.186.278.037.733128.011.407.68566.074.831.666(62.664.889.037)17.620.707.589,,,,,
Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,,,,,1.335.320.095.636(274.878.315.250)24.978.471.969,,,,,
Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,,,,,1.085.420.252.355334.529.506.846,,,,,1.0854202523553345e+24
Lợi nhuận sau thuế công ty mẹ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,,750.890.745.509,,,,,750890745509.0
Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,,,,,
Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Vào ngày 31 tháng 12 năm 2017 > Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,2.942.767.949.058,6.279.592.277.662,184.367.790.520,(2.171.682.822.990),7.235.045.194.2503.029.357.371.862,2942767949058.0,6279592277662.0,184367790520.0,-2171682822990.0,7.235045194250303e+25
Tổng tài sản,Vào ngày 31 tháng 12 năm 2017 > Tổng tài sản,Tổng tài sản,,,,,10.264.402.566.112,,,,,10264402566112.0
Công nợ bộ phậnCông nợ không phân bổ,Vào ngày 31 tháng 12 năm 2017 > Công nợ bộ phậnCông nợ không phân bổ,Công nợ bộ phậnCông nợ không phân bổ,1.394.034.551.250,4.837.331.222.026,142.855.274.484,(1.831.917.846.990),4.542.303.200.7701.068.254.187.777,1394034551250.0,4837331222026.0,142855274484.0,-1831917846990.0,4.542303200770107e+25
Tổng công nợ,Vào ngày 31 tháng 12 năm 2017 > Tổng công nợ,Tổng công nợ,,,,,5.610.557.388.547,,,,,5610557388547.0
