row_label_raw,row_label_full,09.1. Chi phí trả trước ngắn hạn,31/12/2018,01/06/2018,numeric__31/12/2018,numeric__01/06/2018
- Chi phí công cụ dụng cụ,- Chi phí công cụ dụng cụ,- Chi phí công cụ dụng cụ,16.312.396.692,40.385.725.534,16312396692.0,40385725534.0
- Chi phí sửa chữa,- Chi phí sửa chữa,- Chi phí sửa chữa,3.076.413.486,3.953.689.040,3076413486.0,3953689040.0
- Trả trước tiền thuê đất,- Trả trước tiền thuê đất,- Trả trước tiền thuê đất,109.066.947,27.784.779.869,109066947.0,27784779869.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,87.669.936.219,206.539.197.625,87669936219.0,206539197625.0
Cộng,Cộng,Cộng,107.167.813.344,278.663.392.068,107167813344.0,278663392068.0
09.2. Chi phí trả trước dài hạn,09.2. Chi phí trả trước dài hạn,09.2. Chi phí trả trước dài hạn,31/12/2018,01/06/2018,,
- Chi phí công cụ dụng cụ,09.2. Chi phí trả trước dài hạn > - Chi phí công cụ dụng cụ,- Chi phí công cụ dụng cụ,50.121.200.912,81.575.994.622,50121200912.0,81575994622.0
- Chi phí sửa chữa,09.2. Chi phí trả trước dài hạn > - Chi phí sửa chữa,- Chi phí sửa chữa,66.084.343.067,36.795.190.160,66084343067.0,36795190160.0
- Chi phí đề tài nguồn quỹ KHCN,09.2. Chi phí trả trước dài hạn > - Chi phí đề tài nguồn quỹ KHCN,- Chi phí đề tài nguồn quỹ KHCN,11.028.780.485,0,11028780485.0,0.0
- Trả trước tiền thuê đất,09.2. Chi phí trả trước dài hạn > - Trả trước tiền thuê đất,- Trả trước tiền thuê đất,1.412.838.404.595,1.280.437.672.283,1412838404595.0,1280437672283.0
- Giá trị lợi thế kinh doanh,09.2. Chi phí trả trước dài hạn > - Giá trị lợi thế kinh doanh,- Giá trị lợi thế kinh doanh,936.586.701,1.404.880.051,936586701.0,1404880051.0
- Chi phí khác,09.2. Chi phí trả trước dài hạn > - Chi phí khác,- Chi phí khác,722.368.965.471,561.285.885.837,722368965471.0,561285885837.0
Cộng,09.2. Chi phí trả trước dài hạn > Cộng,Cộng,2.263.378.281.231,1.961.499.622.953,2263378281231.0,1961499622953.0
