row_label_raw,row_label_full,Chỉ tiêu > Số dư tại 01/01/2018,Quỹ hỗ trợ sắp xếp doanh nghiệp > 990.086.946,Quỹ khác thuộc vốn chủ sở hữu > 316.998.636.594,Nguồn vốn đầu tư XDCB > 4.662.727.365.692,LNST thuế chưa phân phối > 1.400.402.319.256,Lợi ích cổ đông không kiểm soát > 4.270.760.353.435,Cộng > 10.651.878.761.923,Tổng cộng > 47.889.679.230.385,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp > 990.086.946,numeric__Quỹ khác thuộc vốn chủ sở hữu > 316.998.636.594,numeric__Nguồn vốn đầu tư XDCB > 4.662.727.365.692,numeric__LNST thuế chưa phân phối > 1.400.402.319.256,numeric__Lợi ích cổ đông không kiểm soát > 4.270.760.353.435,numeric__Cộng > 10.651.878.761.923,numeric__Tổng cộng > 47.889.679.230.385
- Tăng trong kỳ trước,- Tăng trong kỳ trước,- Tăng trong kỳ trước,,,,,,-,1.202.812.032.913,,,,,,,1202812032913.0
- Lãi/lỗ trong kỳ trước,- Lãi/lỗ trong kỳ trước,- Lãi/lỗ trong kỳ trước,,,,628.797.906.122,159.939.188.090,788.737.094.212,788.737.094.212,,,,628797906122.0,159939188090.0,788737094212.0,788737094212.0
- Trích lập các quỹ,- Trích lập các quỹ,- Trích lập các quỹ,,,,,,-,387.322.856.269,,,,,,,387322856269.0
- Tăng khác,- Tăng khác,- Tăng khác,,32.464.838.041,476.085.652.742,,35.456.832.211,544.007.322.994,12.099.812.423.866,,32464838041.0,476085652742.0,,35456832211.0,544007322994.0,12099812423866.0
- Giảm khác,- Giảm khác,- Giảm khác,(990.086.946),(333.439.269.558),(5.118.799.884.111),(900.104.625.317),,(6.353.333.865.932),(14.795.440.814.235),-990086946.0,-333439269558.0,-5118799884111.0,-900104625317.0,,-6353333865932.0,-14795440814235.0
Số dư tại 01/06/2018,Số dư tại 01/06/2018,Số dư tại 01/06/2018,-,16.024.205.077,20.013.134.323,1.129.095.600.061,4.466.156.373.736,5.631.289.313.197,47.572.922.823.410,,16024205077.0,20013134323.0,1129095600061.0,4466156373736.0,5631289313197.0,47572922823410.0
- Lãi/lỗ trong kỳ,- Lãi/lỗ trong kỳ,- Lãi/lỗ trong kỳ,,,,2.544.927.333.116,578.101.514.266,3.123.028.847.382,3.123.028.847.382,,,,2544927333116.0,578101514266.0,3123028847382.0,3123028847382.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,-,851.908.968.517,,,,,,,851908968517.0
- Giảm trong kỳ,- Giảm trong kỳ,- Giảm trong kỳ,,,,,,-,(397.152.357.813),,,,,,,-397152357813.0
- Giảm khác,- Giảm khác,- Giảm khác,,(11.811.613.921),(20.013.134.323),(1.188.233.191.405),(421.193.691.347),(1.641.251.630.996),(1.641.263.997.467),,-11811613921.0,-20013134323.0,-1188233191405.0,-421193691347.0,-1641251630996.0,-1641263997467.0
Số dư tại 31/12/2018,Số dư tại 31/12/2018,Số dư tại 31/12/2018,0,4.212.591.156,0,2.485.789.741.772,4.623.064.196.655,7.113.066.529.583,49.509.444.284.029,0.0,4212591156.0,0.0,2485789741772.0,4623064196655.0,7113066529583.0,49509444284029.0
