row_label_raw,row_label_full,23.2. Chi tiết vốn góp của chủ sở hữu,31/12/2018,01/06/2018,numeric__31/12/2018,numeric__01/06/2018
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,23.6. Chênh lệch tỷ giá hối đoái > Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,1.407.995.602.360,1.139.773.483.722,1407995602360.0,1139773483722.0
Chênh lệch tỷ giá từ các nguyên nhân khác,23.6. Chênh lệch tỷ giá hối đoái > Chênh lệch tỷ giá từ các nguyên nhân khác,Chênh lệch tỷ giá từ các nguyên nhân khác,0,0,0.0,0.0
Cộng,23.6. Chênh lệch tỷ giá hối đoái > Cộng,Cộng,1.407.995.602.360,1.139.773.483.722,1407995602360.0,1139773483722.0
24. Nguồn kinh phí,24. Nguồn kinh phí,24. Nguồn kinh phí,Từ ngày 01/06/2018 đến ngày 31/12/2018,Từ ngày 01/01/2018 đến ngày 31/05/2018,,
- Nguồn kinh phí đầu năm,24. Nguồn kinh phí > - Nguồn kinh phí đầu năm,- Nguồn kinh phí đầu năm,(64.827.722.793),(54.686.724.911),-64827722793.0,-54686724911.0
- Nguồn kinh phí được cấp trong năm,24. Nguồn kinh phí > - Nguồn kinh phí được cấp trong năm,- Nguồn kinh phí được cấp trong năm,28.716.213.206,28.470.401.743,28716213206.0,28470401743.0
- Chi sự nghiệp,24. Nguồn kinh phí > - Chi sự nghiệp,- Chi sự nghiệp,(83.333.306.228),(38.611.399.625),-83333306228.0,-38611399625.0
- Nguồn kinh phí còn lại cuối năm,24. Nguồn kinh phí > - Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,(119.444.815.815),(64.827.722.793),-119444815815.0,-64827722793.0
25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,31/12/2018,01/06/2018,,
a. Tài sản thuê ngoài,25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > a. Tài sản thuê ngoài,a. Tài sản thuê ngoài,0,0,0.0,0.0
b. Tài sản nhận giữ hộ,25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > b. Tài sản nhận giữ hộ,b. Tài sản nhận giữ hộ,392.342.765.663,55.442.026.979,392342765663.0,55442026979.0
"- Vật tư hàng hóa nhận giữ hộ, nhận gia công","25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > - Vật tư hàng hóa nhận giữ hộ, nhận gia công","- Vật tư hàng hóa nhận giữ hộ, nhận gia công",392.342.765.663,55.442.026.979,392342765663.0,55442026979.0
"- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp","25. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > - Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp","- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp",0,0,0.0,0.0
c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),,,,
- Ngoại tệ USD,c. Ngoại tệ các loại (USD) > - Ngoại tệ USD,- Ngoại tệ USD,16.435.418,12.047.225,16435418.0,12047225.0
- Ngoại tệ EUR,c. Ngoại tệ các loại (USD) > - Ngoại tệ EUR,- Ngoại tệ EUR,57.033,131.034,57033.0,131034.0
- Ngoại tệ JPY,c. Ngoại tệ các loại (USD) > - Ngoại tệ JPY,- Ngoại tệ JPY,240.249,0,240249.0,0.0
d. Vàng tiền tệ,c. Ngoại tệ các loại (USD) > d. Vàng tiền tệ,d. Vàng tiền tệ,0,0,0.0,0.0
e. Nợ khó đòi đã xử lý,c. Ngoại tệ các loại (USD) > e. Nợ khó đòi đã xử lý,e. Nợ khó đòi đã xử lý,25.330.209.224,16.953.309.368,25330209224.0,16953309368.0
