row_label_raw,row_label_full,Chỉ tiêu > Thuế giá trị gia tăng nội địa > Thuế giá trị gia tăng nhập khẩu,01/06/2018 > (16.299.738.603) > (183.596.909),Số phải nộp từ ngày 01/06/2018 đến ngày 31/12/2018 > 546.317.114.368 > 31.614.135.658,Số thực nộp từ ngày 01/06/2018 đến ngày 31/12/2018 > (448.904.914.650) > (32.152.476.351),31/12/2018 > 81.112.461.115 > (721.937.602),numeric__01/06/2018 > (16.299.738.603) > (183.596.909),numeric__Số phải nộp từ ngày 01/06/2018 đến ngày 31/12/2018 > 546.317.114.368 > 31.614.135.658,numeric__Số thực nộp từ ngày 01/06/2018 đến ngày 31/12/2018 > (448.904.914.650) > (32.152.476.351),numeric__31/12/2018 > 81.112.461.115 > (721.937.602)
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",(538.760.508),25.884.519.950,(27.703.468.293),(2.357.708.851),-538760508.0,25884519950.0,-27703468293.0,-2357708851.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,0,756.933.807,(695.446.643),61.487.164,0.0,756933807.0,-695446643.0,61487164.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,82.079.619.167,759.511.582.611,(588.445.366.169),253.145.835.609,82079619167.0,759511582611.0,-588445366169.0,253145835609.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,2.225.266.442,27.193.765.717,(26.000.125.949),3.418.906.210,2225266442.0,27193765717.0,-26000125949.0,3418906210.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,0,75.636.694.296,(101.489.601.726),(25.852.907.430),0.0,75636694296.0,-101489601726.0,-25852907430.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,33.036.000.508,226.525.069.804,(331.268.030.201),(71.706.959.889),33036000508.0,226525069804.0,-331268030201.0,-71706959889.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,1.740.288.117,2.009.561.136,(8.610.758.623),(4.860.909.370),1740288117.0,2009561136.0,-8610758623.0,-4860909370.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,(3.200.000),106.549.505,(104.799.505),(1.450.000),-3200000.0,106549505.0,-104799505.0,-1450000.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(12.449.293.035),39.416.234.125,(22.236.081.608),4.730.859.482,-12449293035.0,39416234125.0,-22236081608.0,4730859482.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,5.171.231.956,12.899.351.434,(14.441.041.998),3.629.541.392,5171231956.0,12899351434.0,-14441041998.0,3629541392.0
Lợi nhuận nộp ngân sách nhà nước,Lợi nhuận nộp ngân sách nhà nước,Lợi nhuận nộp ngân sách nhà nước,973.623.907.747,0,(973.623.907.747),0,973623907747.0,0.0,-973623907747.0,0.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",(36.676.379.818),20.363.571.841,(7.741.083.095),(24.053.891.072),-36676379818.0,20363571841.0,-7741083095.0,-24053891072.0
Cộng,Cộng,Cộng,1.031.725.345.064,1.768.235.084.252,(2.583.417.102.558),216.543.326.758,1031725345064.0,1768235084252.0,-2583417102558.0,216543326758.0
