row_label_raw,row_label_full,a. Ngắn hạn
"- Phải thu về lãi cho vay, lãi dự thu","- Phải thu về lãi cho vay, lãi dự thu","- Phải thu về lãi cho vay, lãi dự thu"
- Lãi phải thu về các khoản chậm trả,- Lãi phải thu về các khoản chậm trả,- Lãi phải thu về các khoản chậm trả
- Tạm ứng,- Tạm ứng,- Tạm ứng
"- Cẩm cố, ký quỹ, ký cược","- Cẩm cố, ký quỹ, ký cược","- Cẩm cố, ký quỹ, ký cược"
- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa
- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia
- Phải thu người lao động,- Phải thu người lao động,- Phải thu người lao động
- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm
- Phải thu về các khoản kinh phí đã cấp,- Phải thu về các khoản kinh phí đã cấp,- Phải thu về các khoản kinh phí đã cấp
- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh
"- Phải thu về theo quyết định của thanh tra, kiểm toán và quyết định của cơ quan quản lý nhà nước","- Phải thu về theo quyết định của thanh tra, kiểm toán và quyết định của cơ quan quản lý nhà nước","- Phải thu về theo quyết định của thanh tra, kiểm toán và quyết định của cơ quan quản lý nhà nước"
- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác
b. Dài hạn,b. Dài hạn,b. Dài hạn
- Lãi vay phải thu,- Lãi vay phải thu,- Lãi vay phải thu
"- Cẩm cố, ký quỹ, ký cược","- Cẩm cố, ký quỹ, ký cược","- Cẩm cố, ký quỹ, ký cược"
- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa
- Phải thu người lao động,- Phải thu người lao động,- Phải thu người lao động
- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh
- Phải thu dài hạn khác,- Phải thu dài hạn khác,- Phải thu dài hạn khác
