row_label_raw,row_label_full,08. Chi phí bán hàng (Tiếp theo),Từ ngày 01/06/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/05/2018,numeric__Từ ngày 01/06/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 31/05/2018
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,61.323.781.468,57.365.735.236,61323781468.0,57365735236.0
- Chi hoa hồng môi giới,- Chi hoa hồng môi giới,- Chi hoa hồng môi giới,2.096.174.975,998.652.280,2096174975.0,998652280.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,57.046.269.724,24.220.678.387,57046269724.0,24220678387.0
Cộng,Cộng,Cộng,326.404.985.273,139.457.345.185,326404985273.0,139457345185.0
09. Chi phí quản lý doanh nghiệp,09. Chi phí quản lý doanh nghiệp,09. Chi phí quản lý doanh nghiệp,Từ ngày 01/06/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/05/2018,,
- Chi phí nhân viên,09. Chi phí quản lý doanh nghiệp > - Chi phí nhân viên,- Chi phí nhân viên,437.589.882.296,232.062.910.603,437589882296.0,232062910603.0
- Chi phí vật liệu,09. Chi phí quản lý doanh nghiệp > - Chi phí vật liệu,- Chi phí vật liệu,37.728.128.016,13.309.798.322,37728128016.0,13309798322.0
"- Chi phí dụng cụ, đồ dùng","09. Chi phí quản lý doanh nghiệp > - Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng",12.044.270.716,9.147.191.078,12044270716.0,9147191078.0
- Chi phí khấu hao TSCĐ,09. Chi phí quản lý doanh nghiệp > - Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,55.089.185.035,35.013.792.134,55089185035.0,35013792134.0
"- Thuế, phí và lệ phí","09. Chi phí quản lý doanh nghiệp > - Thuế, phí và lệ phí","- Thuế, phí và lệ phí",21.690.666.633,9.821.193.596,21690666633.0,9821193596.0
- Chi phí dịch vụ mua ngoài,09. Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,34.456.910.492,49.297.035.665,34456910492.0,49297035665.0
- Trích Quỹ khoa học công nghệ,09. Chi phí quản lý doanh nghiệp > - Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,7.000.000.000,1.012.516.666,7000000000.0,1012516666.0
- Chi phí dự phòng,09. Chi phí quản lý doanh nghiệp > - Chi phí dự phòng,- Chi phí dự phòng,545.430.268.131,(15.376.005.487),545430268131.0,-15376005487.0
- Chi phí khác,09. Chi phí quản lý doanh nghiệp > - Chi phí khác,- Chi phí khác,301.160.163.096,183.457.362.040,301160163096.0,183457362040.0
Cộng,09. Chi phí quản lý doanh nghiệp > Cộng,Cộng,1.452.189.474.415,517.745.794.618,1452189474415.0,517745794618.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,Từ ngày 01/06/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/05/2018,,
"- Thu nhập từ cây cao su thanh lý, gấy đồ","10. Thu nhập khác > - Thu nhập từ cây cao su thanh lý, gấy đồ","- Thu nhập từ cây cao su thanh lý, gấy đồ",640.780.569.049,356.405.099.023,640780569049.0,356405099023.0
"- Thanh lý, nhượng bán TSCĐ","10. Thu nhập khác > - Thanh lý, nhượng bán TSCĐ","- Thanh lý, nhượng bán TSCĐ",104.583.815,1.946.730.459,104583815.0,1946730459.0
- Tiền bồi thường,10. Thu nhập khác > - Tiền bồi thường,- Tiền bồi thường,933.936.892.901,44.068.732.335,933936892901.0,44068732335.0
- Tiền phạt thu được,10. Thu nhập khác > - Tiền phạt thu được,- Tiền phạt thu được,2.723.500.641,991.257.383,2723500641.0,991257383.0
- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,10. Thu nhập khác > - Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,1.464.210.000,5.425.890.000,1464210000.0,5425890000.0
"- Nhượng bán vật tư, phế liệu","10. Thu nhập khác > - Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu",3.611.426.428,1.916.639.381,3611426428.0,1916639381.0
- Hoàn nhập Quỹ PT khoa học công nghệ,10. Thu nhập khác > - Hoàn nhập Quỹ PT khoa học công nghệ,- Hoàn nhập Quỹ PT khoa học công nghệ,151.343.934,0,151343934.0,0.0
