row_label_raw,row_label_full,Stt,Tên công ty,Báo cáo tài chính tham gia hợp nhất,Đơn vị kiểm toán,Ý kiến của Kiểm toán viên trên Báo cáo kiểm toán,numeric__Tên công ty,numeric__Báo cáo tài chính tham gia hợp nhất,numeric__Đơn vị kiểm toán,numeric__Ý kiến của Kiểm toán viên trên Báo cáo kiểm toán
111,111,111,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Báo cáo tài chính,AVA,Chấp nhận toàn phần,,,,
112,112,112,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Báo cáo tài chính,VietValue,Chấp nhận toàn phần,,,,
113,113,113,Công ty Cổ phần gỗ MDF VRG-Dongwha,Báo cáo tài chính,KPMG,,,,,
114,114,114,Công ty Đầu tư Phát triển VRG Long Thành,Báo cáo tài chính,AVA,,,,,
115,115,115,Công ty Cổ phần Đầu tư Sài Gòn VRG,Báo cáo tài chính hợp nhất,EY,,,,,
116,116,116,Công ty Cổ phần KCN Hồ Nai,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
117,117,117,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Báo cáo tài chính hợp nhất,AASC,Chấp nhận toàn phần,,,,
118,118,118,Công ty Cổ phần Cao su Bến Thành,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
119,119,119,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Báo cáo tài chính hợp nhất,AASC,Chấp nhận toàn phần,,,,
120,120,120,Công ty Cổ phần Lộc Thịnh,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
121,121,121,Công ty Cổ phần Phú Việt Tín,Báo cáo tài chính,AVA,Chấp nhận toàn phần,,,,
122,122,122,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Báo cáo tài chính,SGA,Chấp nhận toàn phần,,,,
123,123,123,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Báo cáo tài chính,,,,,,
124,124,124,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Báo cáo tài chính,,,,,,
125,125,125,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Báo cáo tài chính,,,,,,
126,126,126,Công ty Cổ phần Thống Nhất,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
127,127,127,Công ty Cổ phần Du Lịch Cao su Hàm Rồng,Báo cáo tài chính,,,,,,
