row_label_raw,row_label_full,02. Đầu tư tài chính (Tiếp theo) > 02.4. Đầu tư góp vốn vào đơn vị khác,Giá gốc > 352.306.757.324,Dự phòng > (17.795.619.392),Giá trị hợp lý > 334.511.137.932,Giá gốc > 321.338.841.718,Dự phòng > (3.059.950.000),Giá trị hợp lý > 318.278.891.718,numeric__Giá gốc > 352.306.757.324,numeric__Dự phòng > (17.795.619.392),numeric__Giá trị hợp lý > 334.511.137.932,numeric__Giá gốc > 321.338.841.718,numeric__Dự phòng > (3.059.950.000),numeric__Giá trị hợp lý > 318.278.891.718
Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,499.950.000,(499.950.000),0,499.950.000,(499.950.000),0,499950000.0,-499950000.0,0.0,499950000.0,-499950000.0,0.0
Công ty CP Điện Gia Lai,Công ty CP Điện Gia Lai,Công ty CP Điện Gia Lai,0,0,0,10.713.848.990,0,10.713.848.990,0.0,0.0,0.0,10713848990.0,0.0,10713848990.0
Ngân hàng HD,Ngân hàng HD,Ngân hàng HD,4.801.680.000,0,4.801.680.000,15.862.745.333,0,15.862.745.333,4801680000.0,0.0,4801680000.0,15862745333.0,0.0,15862745333.0
Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,0,0,0,12.214.497.479,0,12.214.497.479,0.0,0.0,0.0,12214497479.0,0.0,12214497479.0
Công ty CP Vũng Tàu Intourco,Công ty CP Vũng Tàu Intourco,Công ty CP Vũng Tàu Intourco,3.850.000.000,(1.047.200.000),2.802.800.000,3.850.000.000,0,3.850.000.000,3850000000.0,-1047200000.0,2802800000.0,3850000000.0,0.0,3850000000.0
Công ty CP Chứng khoán SH,Công ty CP Chứng khoán SH,Công ty CP Chứng khoán SH,168.707.676,0,168.707.676,168.707.676,0,168.707.676,168707676.0,0.0,168707676.0,168707676.0,0.0,168707676.0
Công ty CP EVN Quốc Tế,Công ty CP EVN Quốc Tế,Công ty CP EVN Quốc Tế,44.118.073.392,(8.694.073.392),35.424.000.000,44.118.073.392,0,44.118.073.392,44118073392.0,-8694073392.0,35424000000.0,44118073392.0,0.0,44118073392.0
Quỹ con hồ Việt Nam,Quỹ con hồ Việt Nam,Quỹ con hồ Việt Nam,300.000.000,0,300.000.000,300.000.000,0,300.000.000,300000000.0,0.0,300000000.0,300000000.0,0.0,300000000.0
Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,13.877.341.956,0,13.877.341.956,13.877.341.956,0,13.877.341.956,13877341956.0,0.0,13877341956.0,13877341956.0,0.0,13877341956.0
Công ty CP Thủy sản An Phú,Công ty CP Thủy sản An Phú,Công ty CP Thủy sản An Phú,4.730.000.000,0,4.730.000.000,11.000.000.000,0,11.000.000.000,4730000000.0,0.0,4730000000.0,11000000000.0,0.0,11000000000.0
Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,79.567.924.335,0,79.567.924.335,79.567.924.335,0,79.567.924.335,79567924335.0,0.0,79567924335.0,79567924335.0,0.0,79567924335.0
Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,24.418.782.000,(5.426.396.000),18.992.386.000,24.418.782.000,0,24.418.782.000,24418782000.0,-5426396000.0,18992386000.0,24418782000.0,0.0,24418782000.0
Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,1.500.000.000,0,1.500.000.000,1.500.000.000,0,1.500.000.000,1500000000.0,0.0,1500000000.0,1500000000.0,0.0,1500000000.0
Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,23.082.813.181,0,23.082.813.181,23.082.813.181,0,23.082.813.181,23082813181.0,0.0,23082813181.0,23082813181.0,0.0,23082813181.0
Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,51.808.000.000,0,51.808.000.000,51.808.000.000,0,51.808.000.000,51808000000.0,0.0,51808000000.0,51808000000.0,0.0,51808000000.0
Công ty TNHH MTV Cà phê 715C,Công ty TNHH MTV Cà phê 715C,Công ty TNHH MTV Cà phê 715C,7.971.283.488,0,7.971.283.488,7.567.661.320,0,7.567.661.320,7971283488.0,0.0,7971283488.0,7567661320.0,0.0,7567661320.0
Công ty CP Địa Ốc MB,Công ty CP Địa Ốc MB,Công ty CP Địa Ốc MB,600.000.000,0,600.000.000,600.000.000,0,600.000.000,600000000.0,0.0,600000000.0,600000000.0,0.0,600000000.0
Công ty CP QL Quỹ đầu tư Sàigòn-Hà Nội,Công ty CP QL Quỹ đầu tư Sàigòn-Hà Nội,Công ty CP QL Quỹ đầu tư Sàigòn-Hà Nội,2.128.000.000,(2.128.000.000),0,2.560.000.000,(2.560.000.000),0,2128000000.0,-2128000000.0,0.0,2560000000.0,-2560000000.0,0.0
Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,4.897.408.624,0,4.897.408.624,4.897.408.624,0,4.897.408.624,4897408624.0,0.0,4897408624.0,4897408624.0,0.0,4897408624.0
Công ty CP Xi măng Hợp Sơn,Công ty CP Xi măng Hợp Sơn,Công ty CP Xi măng Hợp Sơn,13.555.162,0,13.555.162,13.555.162,0,13.555.162,13555162.0,0.0,13555162.0,13555162.0,0.0,13555162.0
Công ty TNHH Chế biến mù Champasak,Công ty TNHH Chế biến mù Champasak,Công ty TNHH Chế biến mù Champasak,0,0,0,8.735.946.726,0,8.735.946.726,0.0,0.0,0.0,8735946726.0,0.0,8735946726.0
Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,3.000.000.000,0,3.000.000.000,3.000.000.000,0,3.000.000.000,3000000000.0,0.0,3000000000.0,3000000000.0,0.0,3000000000.0
Công ty TNHH Gốm sứ Champa,Công ty TNHH Gốm sứ Champa,Công ty TNHH Gốm sứ Champa,650.604.867,0,650.604.867,658.952.901,0,658.952.901,650604867.0,0.0,650604867.0,658952901.0,0.0,658952901.0
Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyền,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyền,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyền,80.000.000.000,0,80.000.000.000,0,0,0,80000000000.0,0.0,80000000000.0,0.0,0.0,0.0
Công ty CP Chứng khoán Sài Gòn - Hà Nội,Công ty CP Chứng khoán Sài Gòn - Hà Nội,Công ty CP Chứng khoán Sài Gòn - Hà Nội,18.633.929,0,18.633.929,18.633.929,0,18.633.929,18633929.0,0.0,18633929.0,18633929.0,0.0,18633929.0
Công ty CP CB Gỗ XK Địa ốc Cao su,Công ty CP CB Gỗ XK Địa ốc Cao su,Công ty CP CB Gỗ XK Địa ốc Cao su,303.998.714,0,303.998.714,303.998.714,0,303.998.714,303998714.0,0.0,303998714.0,303998714.0,0.0,303998714.0
