row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyềnđẫn,Thiết bịdụng cụ quảnlý,Vuồn cây kinhdoanh,Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyềnđẫn,numeric__Thiết bịdụng cụ quảnlý,numeric__Vuồn cây kinhdoanh,numeric__Tài sản cố địnhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.637.543.543.379,5.520.628.333.514,1.705.910.041.217,181.551.501.254,17.879.215.812.685,95.558.122.067,36.020.407.354.116,10637543543379.0,5520628333514.0,1705910041217.0,181551501254.0,17879215812685.0,95558122067.0,36020407354116.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,100.393.964.492,117.129.505.844,48.599.992.867,2.722.278.544,,2.063.675.594,270.909.417.341,100393964492.0,117129505844.0,48599992867.0,2722278544.0,,2063675594.0,270909417341.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,479.495.275.677,73.444.565.351,26.118.794.351,1.636.472.244,719.629.393.195,1.471.600.000,1.301.796.100.818,479495275677.0,73444565351.0,26118794351.0,1636472244.0,719629393195.0,1471600000.0,1301796100818.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,35.123.356.554,39.007.211.700,59.169.968.766,199.879.818,,606.642.284,134.107.059.122,35123356554.0,39007211700.0,59169968766.0,199879818.0,,606642284.0,134107059122.0
- Tăng do chuyển đổi BCTC,Nguyên giá > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,43.400.840.952,5.426.241.133,3.932.832.808,167.304.002,132.676.572.728,,185.603.791.623,43400840952.0,5426241133.0,3932832808.0,167304002.0,132676572728.0,,185603791623.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,10.522.346.577,7.728.340.678,,,,,18.250.687.255,10522346577.0,7728340678.0,,,,,18250687255.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(48.822.158.100),(29.939.424.235),(25.812.206.016),(2.777.097.583),(320.695.232.095),,(428.046.118.029),-48822158100.0,-29939424235.0,-25812206016.0,-2777097583.0,-320695232095.0,,-428046118029.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(65.619.713.205),,,,(8.307.121.814),,(73.926.835.019),-65619713205.0,,,,-8307121814.0,,-73926835019.0
- Giảm do chuyển đổi BCTC,Nguyên giá > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(7.243.315.355),(1.336.074.326),(2.359.416.367),(27.132.176),(30.217.673.706),,(41.183.611.930),-7243315355.0,-1336074326.0,-2359416367.0,-27132176.0,-30217673706.0,,-41183611930.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(425.654.254),(110.867.011),(12.067.567.641),(2.334.763.543),(311.655.612),(3.534.688.902),(18.785.196.963),-425654254.0,-110867011.0,-12067567641.0,-2334763543.0,-311655612.0,-3534688902.0,-18785196963.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.184.368.486.717,5.731.977.832.648,1.803.492.439.985,181.138.442.560,18.371.990.095.381,96.165.351.043,37.369.132.648.334,11184368486717.0,5731977832648.0,1803492439985.0,181138442560.0,18371990095381.0,96165351043.0,37369132648334.0
Giá trị hao mòn lây kế,Giá trị hao mòn lây kế,Giá trị hao mòn lây kế,,,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lây kế > Số dư đầu năm,Số dư đầu năm,4.494.094.287.745,2.526.485.487.068,1.157.561.948.629,152.809.152.350,2.879.505.367.458,64.097.745.786,11.274.553.989.036,4494094287745.0,2526485487068.0,1157561948629.0,152809152350.0,2879505367458.0,64097745786.0,11274553989036.0
- Khấu hao trong năm,Giá trị hao mòn lây kế > - Khấu hao trong năm,- Khấu hao trong năm,353.310.062.379,213.702.835.029,63.581.395.390,3.760.611.326,429.164.005.144,3.187.945.884,1.066.706.855.152,353310062379.0,213702835029.0,63581395390.0,3760611326.0,429164005144.0,3187945884.0,1066706855152.0
- Tăng khác,Giá trị hao mòn lây kế > - Tăng khác,- Tăng khác,8.625.258.707,2.586.489.224,1.324.603.136,90.400.997,10.487.330.455,,23.114.082.519,8625258707.0,2586489224.0,1324603136.0,90400997.0,10487330455.0,,23114082519.0
- Tăng do phân loại lại,Giá trị hao mòn lây kế > - Tăng do phân loại lại,- Tăng do phân loại lại,12.573.386.267,5.677.300.988,,,,,18.250.687.255,12573386267.0,5677300988.0,,,,,18250687255.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lây kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(15.885.327.881),(18.751.141.082),(24.569.045.623),(1.691.031.017),(204.090.746.680),,(264.987.292.283),-15885327881.0,-18751141082.0,-24569045623.0,-1691031017.0,-204090746680.0,,-264987292283.0
- Giảm khác,Giá trị hao mòn lây kế > - Giảm khác,- Giảm khác,(62.100.000),(161.904.762),(8.547.409.608),,(16.014.694.740),,(24.786.109.110),-62100000.0,-161904762.0,-8547409608.0,,-16014694740.0,,-24786109110.0
- Giảm do chuyển đổi BCTC,Giá trị hao mòn lây kế > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(982.276.011),(202.672.794),(1.686.553.633),(91.948.565),(3.165.138.472),,(6.128.589.475),-982276011.0,-202672794.0,-1686553633.0,-91948565.0,-3165138472.0,,-6128589475.0
- Giảm do phân loại lại,Giá trị hao mòn lây kế > - Giảm do phân loại lại,- Giảm do phân loại lại,(425.654.254),(110.867.011),(12.067.567.641),(2.334.763.543),(311.655.612),(3.534.688.902),(18.785.196.963),-425654254.0,-110867011.0,-12067567641.0,-2334763543.0,-311655612.0,-3534688902.0,-18785196963.0
Số dư cuối năm,Giá trị hao mòn lây kế > Số dư cuối năm,Số dư cuối năm,4.851.247.636.952,2.729.225.526.660,1.175.597.370.650,152.542.421.548,3.095.574.467.553,63.751.002.768,12.067.938.426.131,4851247636952.0,2729225526660.0,1175597370650.0,152542421548.0,3095574467553.0,63751002768.0,12067938426131.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,6.143.449.255.634,2.994.142.846.446,548.348.092.588,28.742.348.904,14.999.710.445.227,31.460.376.281,24.745.853.365.080,6143449255634.0,2994142846446.0,548348092588.0,28742348904.0,14999710445227.0,31460376281.0,24745853365080.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,6.333.120.849.765,3.002.752.305.988,627.895.069.335,28.596.021.012,15.276.415.627.828,32.414.348.275,25.301.194.222.203,6333120849765.0,3002752305988.0,627895069335.0,28596021012.0,15276415627828.0,32414348275.0,25301194222203.0
