row_label_raw,row_label_full,14. Tài sản dở dang dài hạn,31/12/2018,01/06/2018,numeric__31/12/2018,numeric__01/06/2018
"- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn",154.090.078.859,142.119.974.443,154090078859.0,142119974443.0
- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,25.229.443.918.501,24.553.758.487.561,25229443918501.0,24553758487561.0
+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,22.841.307.036.123,22.176.928.325.347,22841307036123.0,22176928325347.0
+ Vườn cây khác,+ Vườn cây khác,+ Vườn cây khác,137.601.746.583,111.937.502.372,137601746583.0,111937502372.0
"+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su",71.512.388.310,96.207.444.719,71512388310.0,96207444719.0
"+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi",92.141.913.375,86.115.914.734,92141913375.0,86115914734.0
"+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng",888.327.976.623,931.843.072.462,888327976623.0,931843072462.0
+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,5.435.775.545,196.569.866.533,5435775545.0,196569866533.0
+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,1.193.117.081.942,954.156.361.394,1193117081942.0,954156361394.0
Cộng,Cộng,Cộng,25.383.533.997.360,24.695.878.462.004,25383533997360.0,24695878462004.0
