row_label_raw,row_label_full,b. Nợ phải trả tài chính,Giá trị sổ sách > Đầu năm,Giá trị sổ sách > Cuối năm,numeric__Giá trị sổ sách > Đầu năm,numeric__Giá trị sổ sách > Cuối năm
"Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",3.497.557.875.826,3.340.163.981.027,3497557875826.0,3340163981027.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,374.221.134.310,364.662.101.194,374221134310.0,364662101194.0
Vay và nợ,Vay và nợ,Vay và nợ,13.635.848.367.874,13.399.449.050.914,13635848367874.0,13399449050914.0
Cộng,Cộng,Cộng,17.507.627.378.010,17.104.275.133.135,17507627378010.0,17104275133135.0
