row_label_raw,row_label_full,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bắt động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh diện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bắt động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh diện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
701.142.410.130,701.142.410.130,701.142.410.130,27.022.602.740,359.040.899.346,4.230.749.895.995,37.810.162.297,107.000.000.000,12.000.000.000,-,5.474.765.970.508,27022602740.0,359040899346.0,4230749895995.0,37810162297.0,107000000000.0,12000000000.0,,5474765970508.0
417.855.007.043,417.855.007.043,417.855.007.043,-,-,-,-,-,-,(405.061.887.910),12.793.119.133,,,,,,,-405061887910.0,12793119133.0
411.291.728.585,411.291.728.585,411.291.728.585,21.580.134.068,7.578.259.652,4.325.401.258,858.410.665,1.250.238.100,6.483.352.809,-,453.367.525.137,21580134068.0,7578259652.0,4325401258.0,858410665.0,1250238100.0,6483352809.0,,453367525137.0
260.671.519.033,260.671.519.033,260.671.519.033,3.194.188.501,6.836.264.682,135.083.437.081,1.046.584.581,1.045.660.133,367.946.663,-,408.245.600.674,3194188501.0,6836264682.0,135083437081.0,1046584581.0,1045660133.0,367946663.0,,408245600674.0
1.658.517.333.825,1.658.517.333.825,1.658.517.333.825,-,-,638.942.068,-,-,-,(635.438.921.635),1.023.717.354.258,,,638942068.0,,,,-635438921635.0,1023717354258.0
50.820.616.224.767,50.820.616.224.767,50.820.616.224.767,13.431.295.698,9.011.708.155,1.210.819.906.753,50.597.411.139,88.700.827.493,66.000.000,(48.582.877.526.389),3.610.365.847.616,13431295698.0,9011708155.0,1210819906753.0,50597411139.0,88700827493.0,66000000.0,-48582877526389.0,3610365847616.0
2.065.924.040,2.065.924.040,2.065.924.040,-,-,81.422.231,-,-,-,75.353.702.852,77.501.049.123,,,81422231.0,,,,75353702852.0,77501049123.0
54.272.160.147.423,54.272.160.147.423,54.272.160.147.423,65.228.221.007,382.467.131.835,5.581.699.005.386,90.312.568.682,197.996.725.726,18.917.299.472,(49.548.024.633.082),11.060.756.466.449,65228221007.0,382467131835.0,5581699005386.0,90312568682.0,197996725726.0,18917299472.0,-49548024633082.0,11060756466449.0
451.527.746.745,451.527.746.745,451.527.746.745,19.555.720.315,23.076.517.947,115.821.378.400,12.264.945,12.057.718.401,2.737.580.679,-,624.788.927.432,19555720315.0,23076517947.0,115821378400.0,12264945.0,12057718401.0,2737580679.0,,624788927432.0
2.353.280.646.543,2.353.280.646.543,2.353.280.646.543,385.837.999.764,858.743.863.030,89.439.736.978,-,77.674.851.265,7.888.224.026,(405.061.887.910),3.367.803.433.696,385837999764.0,858743863030.0,89439736978.0,,77674851265.0,7888224026.0,-405061887910.0,3367803433696.0
8.577.911.856.266,8.577.911.856.266,8.577.911.856.266,37.348.188.528,954.679.455.895,11.552.173.100,-,1.085.592.865.064,-,(635.438.921.635),10.031.645.617.218,37348188528.0,954679455895.0,11552173100.0,,1085592865064.0,,-635438921635.0,10031645617218.0
-,-,-,-,-,-,-,-,-,,-,,,,,,,,
11.382.720.249.554,- > 11.382.720.249.554,11.382.720.249.554,442.741.908.607,1.836.499.836.872,216.813.288.478,12.264.945,1.175.325.434.730,10.625.804.705,(1.040.500.809.545),14.024.237.978.347,442741908607.0,1836499836872.0,216813288478.0,12264945.0,1175325434730.0,10625804705.0,-1040500809545.0,14024237978347.0
