row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bắt động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mũ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bắt động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,9.201.027.776.986,918.962.547.144,1.997.952.985.764,572.110.066.545,462.754.543,268.671.747.780,1.122.321.653.237,-,14.081.509.531.999,9201027776986.0,918962547144.0,1997952985764.0,572110066545.0,462754543.0,268671747780.0,1122321653237.0,,14081509531999.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),962.865.223.236,526.026.500,1.094.735.616,-,-,-,208.376.916.683,(1.172.862.902.035),-,962865223236.0,526026500.0,1094735616.0,,,,208376916683.0,-1172862902035.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,10.163.893.000.222,919.488.573.644,1.999.047.721.380,572.110.066.545,462.754.543,268.671.747.780,1.330.698.569.920,(1.172.862.902.035),14.081.509.531.999,10163893000222.0,919488573644.0,1999047721380.0,572110066545.0,462754543.0,268671747780.0,1330698569920.0,-1172862902035.0,14081509531999.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,,,,,,,,,
Khẩu hao tài sản cố định,Kết quả hoạt động kinh doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,757.915.925.169,57.135.010.842,147.390.441.641,12.753.303.808,2.289.621.339,83.858.936.183,10.462.254.441,-,1.071.805.493.423,757915925169.0,57135010842.0,147390441641.0,12753303808.0,2289621339.0,83858936183.0,10462254441.0,,1071805493423.0
Phần được chia từ lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phần được chia từ lãi/(lỗ) của công ty liên kết,Phần được chia từ lãi/(lỗ) của công ty liên kết,6.567.679.254,(19.710.792.335),196.526.800.950,43.044.075.426,-,-,7.163.174.874,-,233.590.938.169,6567679254.0,-19710792335.0,196526800950.0,43044075426.0,,,7163174874.0,,233590938169.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),(21.674.494.060),(33.219.224.075),790.447.058.343,310.028.556.759,(7.820.790.538),98.356.270.195,571.392.299.132,-,1.707.509.675.756,-21674494060.0,-33219224075.0,790447058343.0,310028556759.0,-7820790538.0,98356270195.0,571392299132.0,,1707509675756.0
Tổng tài sản (3),Kết quả hoạt động kinh doanh > Tổng tài sản (3),Tổng tài sản (3),56.396.206.913.738,1.558.835.493.155,3.956.512.407.738,4.642.699.959.012,37.766.348.664,2.818.811.855.952,487.228.738.780,(3.650.615.371.558),66.247.446.345.481,56396206913738.0,1558835493155.0,3956512407738.0,4642699959012.0,37766348664.0,2818811855952.0,487228738780.0,-3650615371558.0,66247446345481.0
Tổng nợ phải trả (4),Kết quả hoạt động kinh doanh > Tổng nợ phải trả (4),Tổng nợ phải trả (4),7.705.570.609.023,271.780.914.330,856.712.122.155,7.991.489.427.354,2.740.855.582,123.780.248.421,120.131.325.115,(3.356.543.762.826),13.715.661.739.154,7705570609023.0,271780914330.0,856712122155.0,7991489427354.0,2740855582.0,123780248421.0,120131325115.0,-3356543762826.0,13715661739154.0
