row_label_raw,row_label_full,08. Hàng tồn kho,31/12/2018,31/12/2018_1,01/06/2018,01/06/2018_1,numeric__31/12/2018,numeric__31/12/2018_1,numeric__01/06/2018,numeric__01/06/2018_1
08. Hàng tồn kho,08. Hàng tồn kho,08. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi đường,08. Hàng tồn kho > Hàng mua đang đi đường,Hàng mua đang đi đường,92.834.564.534,0,151.277.685.632,0,92834564534.0,0.0,151277685632.0,0.0
"Nguyên liệu, vật liệu tồn kho","08. Hàng tồn kho > Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",243.231.518.196,(4.307.885.229),213.530.719.903,(1.165.195.301),243231518196.0,-4307885229.0,213530719903.0,-1165195301.0
"Công cụ, dụng cụ trong kho","08. Hàng tồn kho > Công cụ, dụng cụ trong kho","Công cụ, dụng cụ trong kho",253.054.233.567,0,262.108.866.211,0,253054233567.0,0.0,262108866211.0,0.0
Chi phí SXKD dở dang,08. Hàng tồn kho > Chi phí SXKD dở dang,Chi phí SXKD dở dang,611.451.764.090,(3.292.987.114),712.049.670.879,(151.512.445),611451764090.0,-3292987114.0,712049670879.0,-151512445.0
Thành phẩm tồn kho,08. Hàng tồn kho > Thành phẩm tồn kho,Thành phẩm tồn kho,1.797.929.776.824,(46.371.246.378),1.951.439.220.789,(1.370.053.636),1797929776824.0,-46371246378.0,1951439220789.0,-1370053636.0
Hàng hóa tồn kho,08. Hàng tồn kho > Hàng hóa tồn kho,Hàng hóa tồn kho,296.985.123.577,(3.054.835.961),59.413.468.936,(1.000.344.754),296985123577.0,-3054835961.0,59413468936.0,-1000344754.0
Hàng gửi đi bán,08. Hàng tồn kho > Hàng gửi đi bán,Hàng gửi đi bán,33.273.403.307,0,125.563.618.136,0,33273403307.0,0.0,125563618136.0,0.0
Hàng hóa bắt động sản,08. Hàng tồn kho > Hàng hóa bắt động sản,Hàng hóa bắt động sản,13.677.215.000,0,13.677.215.000,0,13677215000.0,0.0,13677215000.0,0.0
Cộng,08. Hàng tồn kho > Cộng,Cộng,3.342.437.599.095,(57.026.954.682),3.489.060.465.486,(3.687.106.136),3342437599095.0,-57026954682.0,3489060465486.0,-3687106136.0
