row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Từ ngày 01/06/2018 đến ngày 31/12/2018,Từ ngày 01/01/2018 đến ngày 31/05/2018,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ ngày 01/06/2018 đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018 đến ngày 31/05/2018
,,,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
01,01,01,Lợi nhuận trước thuế,,3.253.110.588.806,998.625.952.713,,,3253110588806.0,998625952713.0
,,,Điều chỉnh cho các khoản,,1.826.530.880.909,704.371.269.810,,,1826530880909.0,704371269810.0
02,02,02,- Khấu hao tài sản cố định,,1.070.314.255.911,598.252.606.555,,,1070314255911.0,598252606555.0
03,03,03,- Các khoản dự phòng,,616.846.487.039,(29.153.284.262),,,616846487039.0,-29153284262.0
04,04,04,"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,4.206.086.671,7.785.983.929,,,4206086671.0,7785983929.0
05,05,05,- Lãi lỗ từ hoạt động đầu tư,,(4.623.838.580),(17.838.275.478),,,-4623838580.0,-17838275478.0
06,06,06,- Chi phí lãi vay,,380.378.828.037,222.226.372.158,,,380378828037.0,222226372158.0
07,07,07,- Các khoản điều chỉnh khác,,(240.590.938.169),(76.902.133.092),,,-240590938169.0,-76902133092.0
08,08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,5.079.641.469.715,1.702.997.222.523,,,5079641469715.0,1702997222523.0
09,09,09,"- Tăng, giảm các khoản phải thu",,(779.278.209.225),(480.678.262.969),,,-779278209225.0,-480678262969.0
10,10,10,"- Tăng, giảm hàng tồn kho",,146.622.866.391,67.502.384.959,,,146622866391.0,67502384959.0
11,11,11,"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,1.068.925.971.058,1.219.597.667.719,,,1068925971058.0,1219597667719.0
12,12,12,"- Tăng, giảm chi phí trả trước",,(130.383.079.554),(683.119.482.365),,,-130383079554.0,-683119482365.0
13,13,13,"- Tăng, giảm chứng khoán kinh doanh",,0,0,,,0.0,0.0
14,14,14,- Tiền lãi vay đã trả,,(315.640.365.577),(236.344.025.483),,,-315640365577.0,-236344025483.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(588.445.366.169),(194.747.351.399),,,-588445366169.0,-194747351399.0
16,16,16,- Tiền thu khác từ hoạt động kinh doanh,,28.716.213.206,31.172.974.469,,,28716213206.0,31172974469.0
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,(1.918.608.171.828),(2.949.635.020.837),,,-1918608171828.0,-2949635020837.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,2.591.551.328.017,(1.523.253.893.383),,,2591551328017.0,-1523253893383.0
,,,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
21,21,21,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(2.272.000.707.379),(747.612.363.882),,,-2272000707379.0,-747612363882.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,253.583.013.742,461.185.764.945,,,253583013742.0,461185764945.0
23,23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(3.462.738.986.139),(3.349.048.071.330),,,-3462738986139.0,-3349048071330.0
24,24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,3.689.399.189.776,2.587.293.972.433,,,3689399189776.0,2587293972433.0
25,25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(80.000.000.000),(3.327.237.322),,,-80000000000.0,-3327237322.0
26,26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,59.553.377.202,0,,,59553377202.0,0.0
27,27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,372.994.747.935,339.177.366.143,,,372994747935.0,339177366143.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(1.439.209.364.863),(712.330.569.013),,,-1439209364863.0,-712330569013.0
